year,net_units,nb_units,demo_units,buildings,nb_buildings,demolished,jobs
2010,23337,22683,-897,5009,2197,448,5058
2011,17904,17230,-873,4382,1696,451,4440
2012,10570,9686,-1055,3982,1360,515,4023
2013,14536,14443,-1361,3972,1295,633,4027
2014,12456,13168,-1548,3925,1271,770,3989
2015,15580,15588,-2348,4166,1411,843,4282
2016,23725,23448,-2008,4647,1694,942,4777
2017,26300,25328,-2157,4806,1663,1009,4887
2018,29136,28548,-1654,4494,1656,826,4593
2019,26713,24672,-2013,4666,1657,802,4782
2020,21089,19924,-1169,3647,1298,551,3682
2021,28784,27900,-1376,3826,1403,597,3882
2022,26468,25838,-1457,3903,1226,669,3955
2023,29713,27563,-1012,3501,1233,367,3520
2024,36863,33318,-568,3390,1244,275,3398
2025,42004,36907,-756,3067,1002,397,3078
2026,-7,0,-7,4,0,4,4
