Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,Latitude,Longitude,CommntyDst,CouncilDst,NTA2020,NTAName20,hdb_completed,hdb_address,excluded_via
B00489656,New Building,3. Permitted for Construction,3428980,3039500007,3,221,BARBEY STREET,,2022.0,0.0,2,2.0,,2021-03-30,2022-03-10,,2 Family,PROPOSED NEW THREE STORIES TWO FAMILY DWELLINGS WITH CELLAR,40.67782729240591,-73.88853501511787,305,37,BK0501,Cypress Hills,False,221 BARBEY STREET,bbl_block
B00512095,New Building,2. Approved Application,3328367,3039600065,3,3141,ATLANTIC AVENUE,,,0.0,8,8.0,,2021-05-16,,,Other,PROPOSED NEW FIVE (5) STORY WITH CELLAR.  MIXED-USE BUILDING. MECHANICAL (MH) STRUCTURAL (ST) PLUMBING/SPRINKLER/STANDPIPE (PL/SP/SD) FIRE ALARM(FA) & BPP FILED SEPERATELY. 8 CLASS A DWELLING,40.679803123218015,-73.87939500528272,305,37,BK0501,Cypress Hills,False,3141 ATLANTIC AVENUE,bbl_block
B00569207,Alteration,5. Completed Construction,3328465,3039930001,3,2219,PITKIN AVENUE,2025.0,2023.0,16.0,16,0.0,16.0,2021-09-29,2023-08-18,2025-08-26,Other,FILING TO AMEND CURRENT C of O TO CORRECT NUMBER OF PROPOSED PARKING SPACES TO EXSITING INDOOR PARKING GARAGE AS INDICATED. THERE WILL BE NO CHANGE IN USE EGRESS OR OCCUPANCY TO EXISTING RESIDENTIAL BUILDING.,40.67304523288359,-73.89061815200631,305,42,BK0502,East New York (North),True,2219 PITKIN AVENUE,bbl_block
B00584279,New Building,5. Completed Construction,3430036,3039710050,3,731,LIBERTY AVENUE,2023.0,2022.0,0.0,10,10.0,10.0,2021-11-10,2022-05-24,2023-05-25,Other,PROPOSED FOUR (4) STORY WITH PENTHOUSE MIXED-USE BUILDING.,40.67662288325533,-73.88278359279352,305,37,BK0501,Cypress Hills,True,731 LIBERTY AVENUE,bbl_block
B00594970,New Building,5. Completed Construction,3429466,3039890001,3,365,SHEPHERD AVENUE,2025.0,2022.0,0.0,123,123.0,123.0,2021-11-15,2022-12-21,2025-04-24,Other,An affordable housing project. A (7) story new building with (123) dwelling units in total. A mixed use of (105) UG2 + (10) UG3 + (8) AIRS units,40.67576494511725,-73.88093927949379,305,37,BK0502,East New York (North),True,365 SHEPHERD AVENUE,bbl_block
B00640786,New Building,5. Completed Construction,3428952,3041437502,3,254,EUCLID AVENUE,2025.0,2022.0,0.0,436,436.0,436.0,2021-12-27,2022-12-29,2025-04-16,Other,CONSTRUCT NEW FOURTEEN (14) STORY MIXED USE BUILDING AS PER PLANS FILED.,40.68191625694341,-73.8744481000775,305,37,BK0501,Cypress Hills,True,254 EUCLID AVENUE,bbl_block
B00670629,New Building,5. Completed Construction,3430123,3039890016,3,786,LIBERTY AVENUE,2025.0,2022.0,0.0,54,54.0,54.0,2022-01-31,2022-06-09,2025-05-06,Other,Proposing new 8 story & cellar residential building,40.67655588222935,-73.88082689481602,305,37,BK0502,East New York (North),True,786 LIBERTY AVENUE,bbl_block
B00733362,New Building,2. Approved Application,3848366,3040030001,3,455,LINWOOD STREET,,,0.0,3,3.0,,2022-05-20,,,3 Family,PROPOSED NEW THREE (3) STORY THREE (3) FAMILY RESIDENTIAL BUILDING.,40.674347,-73.882442,305,42,BK0502,East New York (North),False,455 LINWOOD STREET,bbl_block
B00867121,Alteration,2. Approved Application,3093161,3041540019,3,303,LOGAN STREET,,,1.0,2,1.0,,2023-05-16,,,2 Family,Propose to convert from 1 to 2 family house propose vertical extension propose new entrance from rear to cellar  propose new front entrance to cellar  propose new driveway,40.67887382025916,-73.87698888461358,305,37,BK0502,East New York (North),False,303 LOGAN STREET,bbl_block
B00899061,New Building,3. Permitted for Construction,3429638,3041900012,3,391,LOGAN STREET,,2024.0,0.0,2,2.0,,2023-07-13,2024-03-14,,3 Family,Application to file new two family house as per drawings.,40.676748,-73.876396,305,37,BK0502,East New York (North),False,391 LOGAN STREET,bbl_block
B00924193,Alteration,1. Filed Application,3087909,3039520004,3,245,WARWICK STREET,,,2.0,2,0.0,,2023-10-03,,,2 Family,,40.67808646569088,-73.88680100549854,305,37,BK0501,Cypress Hills,False,245 WARWICK STREET,bbl_block
B00936591,Demolition,5. Completed Construction,3380644,3041930129,3,30,DOSCHER STREET,2025.0,2025.0,2.0,0,-2.0,,2024-11-07,2025-11-07,2025-11-07,1 Family,,40.6768974652536,-73.8734148254778,305,37,BK0505,East New York-City Line,True,30 DOSCHER STREET,bbl_block
B00938073,Demolition,5. Completed Construction,3088579,3039810035,3,605,GLENMORE AVENUE,2024.0,2024.0,1.0,0,-1.0,,2023-11-01,2024-10-15,2024-10-15,2 Family,full demolition of 3 1/2 story structure,40.674613,-73.887864,305,37,BK0502,East New York (North),True,605 GLENMORE AVENUE,bbl_block
B00972461,New Building,3. Permitted for Construction,3429718,3041430003,3,275,CHESTNUT STREET,,2025.0,0.0,327,327.0,,2024-01-29,2025-09-25,,Other,CONSTRUCT NEW FOURTEEN (14) STORY MIXED-USE BUILDING AS PER PLANS FILED.,40.681324,-73.874376,305,37,BK0501,Cypress Hills,False,275 CHESTNUT STREET,bbl_block
B01031333,Alteration,1. Filed Application,3341486,3039870014,3,728,LIBERTY AVENUE,,,6.0,4,-2.0,,2025-03-07,,,Other,Interior work filed separately under separate application(s).  Acquisition of new Certificate of Occupancy.,40.67629221931318,-73.88269156881775,305,37,BK0502,East New York (North),False,728 LIBERTY AVENUE,bbl_block
B01091813,New Building,1. Filed Application,3824242,3042100034,3,2647,PITKIN AVENUE,,,0.0,7,7.0,,2024-09-26,,,Other,Proposed four storey residential and commercial building.,40.675272,-73.874549,305,42,BK0505,East New York-City Line,False,2647 PITKIN AVENUE,bbl_block
B01112739,New Building,3. Permitted for Construction,3430014,3039730050,3,60,BERRIMAN STREET,,2025.0,0.0,8,8.0,,2024-10-02,2025-05-23,,Other,NEW BUILDING - EIGHT FAMILY FOUR STORY WITH CELLAR- RESIDENTIAL BUILDING,40.677414,-73.880959,305,37,BK0501,Cypress Hills,False,60 BERRIMAN STREET,bbl_block
B01147007,New Building,3. Permitted for Construction,3430012,3039990004,3,395,WARWICK STREET,,2025.0,0.0,3,3.0,,2025-01-09,2025-11-10,,3 Family,NEW THREE STORY THREE FAMILY DWELLING.,40.674027,-73.885756,305,42,BK0502,East New York (North),False,395 WARWICK STREET,bbl_block
B01139174,New Building,2. Approved Application,3429988,3039730050,3,62,BERRIMAN STREET,,,0.0,17,17.0,,2024-11-07,,,Other,17 FAMILY 5 STORY WITH CELLAR - RESIDENTIAL BUILDING,40.677414,-73.880959,305,37,BK0501,Cypress Hills,False,62 BERRIMAN STREET,bbl_block
B01149720,New Building,1. Filed Application,3093263,3041620002,3,3320,ATLANTIC AVENUE,,,0.0,33,33.0,,2024-12-05,,,Other,Construct new eight (8) story mixed use building with residential and retail use as per plans filed herewith.,40.68103745797791,-73.87296059920058,305,37,BK0501,Cypress Hills,False,3320 ATLANTIC AVENUE,bbl_block
B01151079,Alteration,5. Completed Construction,3088877,3039990035,3,2349,PITKIN AVENUE,2025.0,2025.0,3.0,9,6.0,9.0,2024-12-06,2025-03-26,2025-08-29,Other,Interior renovation to increase number of dwelling  units from 3 to 9 units to an existing 3 story building.,40.67360194312357,-73.88562457645862,305,42,BK0502,East New York (North),True,2349 PITKIN AVENUE,bbl_block
B01158510,Demolition,2. Approved Application,3093263,3041620002,3,3320,ATLANTIC AVENUE,,,1.0,0,-1.0,,2025-02-10,,,Other,This job is filed for full demolition work at 3320 Atlantic Avenue BK 11208,40.68103745797791,-73.87296059920058,305,37,BK0501,Cypress Hills,False,3320 ATLANTIC AVENUE,bbl_block
B01161142,New Building,3. Permitted for Construction,3397139,3039600005,3,207,HALE AVENUE,,2025.0,0.0,3,3.0,,2025-01-20,2025-10-31,,3 Family,NEW THREE STORY THREE FAMILY DWELLING.,40.680191,-73.879631,305,37,BK0501,Cypress Hills,False,207 HALE AVENUE,bbl_block
B01203284,New Building,1. Filed Application,3087939,3039520042,3,200,ASHFORD STREET,,,0.0,79,79.0,,2025-06-25,,,Other,(PLEASE ASSIGN TO DEV HUB) PROPOSING NEW 9 STORY AND CELLAR MIXED-USE BUILDING.,40.67783224805355,-73.88629209859792,305,37,BK0501,Cypress Hills,False,200 ASHFORD STREET,bbl_block
B01225983,New Building,1. Filed Application,3256546,3039580049,3,229,SHEPHERD AVENUE,,,0.0,99,99.0,,2025-05-23,,,Other,PROPOSED NEW EIGHT STORY MIXED USE BUILDING.,40.679289,-73.881143,305,37,BK0501,Cypress Hills,False,229 SHEPHERD AVENUE,bbl_block
B01241582,New Building,1. Filed Application,3256546,3039580049,3,240,HIGHLAND PLACE,,,0.0,99,99.0,,2025-06-19,,,Other,PROPOSED NEW EIGHT STORY MIXED USE BUILDING.,40.679289,-73.881143,305,37,BK0501,Cypress Hills,False,240 HIGHLAND PLACE,bbl_block
B01232724,New Building,1. Filed Application,3088731,3039890032,3,803,GLENMORE AVENUE,,,0.0,10,10.0,,2025-06-16,,,Other,PROPOSED FOUR (4) STORY RESIDENTIAL BUILDING.,40.675665,-73.88058,305,37,BK0502,East New York (North),False,803 GLENMORE AVENUE,bbl_block
B01255657,New Building,1. Filed Application,3088379,3039710031,3,256,ESSEX STREET,,,0.0,18,18.0,,2025-08-27,,,Other,Proposed four (4) story + cellar and penthouse residential use building.,40.677757,-73.882927,305,37,BK0501,Cypress Hills,False,256 ESSEX STREET,bbl_block
B01239985,New Building,2. Approved Application,3430274,3040030001,3,455,LINWOOD STREET,,,0.0,11,11.0,,2025-06-25,,,Other,PROPOSED NEW THREE STORY 11 FAMILY RESIDENTIAL BUILDING.,40.674347,-73.882442,305,42,BK0502,East New York (North),False,455 LINWOOD STREET,bbl_block
B01313756,New Building,1. Filed Application,3094616,3042100017,3,950,GLENMORE AVENUE,,,0.0,29,29.0,,2025-11-13,,,Other,New 5-story 29-family building,40.676060132498286,-73.87498398973493,305,42,BK0505,East New York-City Line,False,950 GLENMORE AVENUE,bbl_block
B08042891,Alteration,5. Completed Construction,3087923,3039520023,3,2930,FULTON STREET,2024.0,2023.0,4.0,8,4.0,8.0,2022-11-19,2023-01-27,2024-08-13,Other,CONVERT 2ND FLOOR EXISTING COMMUNITY FACILITY (U.G.4) TO RESIDENTIAL (U.G.2) 1ST FLOOR EXISTING COMMERCIAL (U.G. 6) AND 3RD FLOOR RESIDENTIAL 2 APARTMENTS (U.G.3) CHANGE TO 5 APARTMENTS (U.G. 2) EXISTING MIXED USE BUILDING. OBTAIN NEW C OF O.,40.67912321642334,-73.88657014748956,305,37,BK0501,Cypress Hills,True,2930 FULTON STREET,bbl_block
X00486240,Alteration,3. Permitted for Construction,2008709,2028720302,2,1476,JESUP AVENUE,,2022.0,3.0,20,17.0,,2021-03-22,2022-01-12,,Other,VERTICAL EXTENSION TO AN EXISTING TWO STORY & CELLAR BRICK BUILDING,40.84288708091348,-73.91918435433801,204,16,BX0403,Mount Eden-Claremont (West),False,1476 JESUP AVENUE,bbl_block
X00487406,New Building,5. Completed Construction,2008159,2028480024,2,1677,TOWNSEND AVENUE,2023.0,2021.0,0.0,35,35.0,35.0,2021-08-04,2021-11-23,2023-01-10,Other,NEW 7-STORY 35-FAMILY RESIDENTIAL BUILDING,40.84595327256616,-73.91278690470804,205,14,BX0502,Mount Hope,True,1677 TOWNSEND AVENUE,bbl_block
X00490317,Alteration,5. Completed Construction,2008659,2028720070,2,1434,JESUP AVENUE,2023.0,2022.0,0.0,8,8.0,8.0,2021-03-22,2022-06-23,2023-04-28,Other,PROPOSED INTERIOR RENOVATION  TO AN EXISTING 2 STORY AND CELLAR RESIDENTIAL USE BUILDING TO A TOTAL OF 8 RESIDENTIAL UNITS.,40.84181823056305,-73.92004736111689,204,16,BX0403,Mount Eden-Claremont (West),True,1434 JESUP AVENUE,bbl_block
X00558445,New Building,5. Completed Construction,2131062,2028720120,2,1472,SHAKESPEARE AVENUE,2023.0,2022.0,0.0,34,34.0,34.0,2021-08-19,2022-07-14,2023-12-15,Other,New 7 story Residential Building,40.84374358524328,-73.91973679478882,204,16,BX0403,Mount Eden-Claremont (West),True,1472 SHAKESPEARE AVENUE,bbl_block
X00525233,Alteration,3. Permitted for Construction,2008431,2028650126,2,37,FEATHERBED LANE,,2022.0,42.0,56,14.0,,2021-08-04,2022-06-06,,Other,PROPOSED APARTMENTS AT BASEMENT FIRST & SECOND FLOOR. ADDITIONAL SCOPE OF WORK ADDED. AMENDMENT PLANS INCLUDE APARTMENT 1C 1E 1B 2F & 2E TO BE SPLIT INTO STUDIO APARTMENTS. 80 SQ FT REDUCTION FROM APT. 6A.,40.846223266920575,-73.91538209735293,205,14,BX0501,University Heights (South)-Morris Heights,False,37 FEATHERBED LANE,bbl_block
X00527768,Alteration,5. Completed Construction,2008160,2028480050,2,1670,TOWNSEND AVENUE,2023.0,2022.0,0.0,25,25.0,25.0,2021-05-25,2022-06-30,2023-12-28,Other,PROPSING HORIZONTAL & VERTICAL ENLARGEMNT TOAX EXISTING TWO STORY & BASEMENT BUILDING,40.84560358956477,-73.9124487883884,205,14,BX0502,Mount Hope,True,1670 TOWNSEND AVENUE,bbl_block
X00676895,New Building,5. Completed Construction,2130655,2031950032,2,2175,DAVIDSON AVENUE,2024.0,2022.0,0.0,18,18.0,20.0,2022-03-16,2022-09-08,2024-05-01,Other,NEW FOUR STORY EIGHTEEN (18) DWELLING UNIT BUILDING,40.85697676045363,-73.90610058706118,205,14,BX0501,University Heights (South)-Morris Heights,True,2175 DAVIDSON AVENUE,bbl_block
X00678451,Alteration,3. Permitted for Construction,2014242,2031980015,2,2312,GRAND AVENUE,,2022.0,0.0,13,13.0,,2022-02-21,2022-05-19,,Other,APPLICATION FILED HEREWITH TO PROPOSE THE FOLLOWING: HORIZONTAL ENLARGEMENT AT THE SECOND FLOOR. 2 STORY VERTICAL ENLARGEMENT WITH A PENTHOUSE AND BULK HEAD.  INCREASE DWELLING UNITS TO 13. OBTAIN NEW CERTIFICATE OF OCCUPANCY,40.86050600775776,-73.90454710842329,207,14,BX0701,University Heights (North)-Fordham,False,2312 GRAND AVENUE,bbl_block
X00681146,Alteration,5. Completed Construction,2014244,2031980017,2,2316,GRAND AVENUE,2024.0,2022.0,0.0,15,15.0,15.0,2022-02-21,2022-05-20,2024-06-21,Other,APPLICATION FILED HEREWITH TO PROPOSE THE FOLLOWING: HORIZONTAL ENLARGEMENT AT THE SECOND FLOOR. 2 STORY VERTICAL ENLARGEMENT WITH A PENTHOUSE AND BULKHEAD.  INCREASE DWELLING UNITS TO 15. OBTAIN NEW CERTIFICATE OF OCCUPANCY,40.86062585569538,-73.90445865134812,207,14,BX0701,University Heights (North)-Fordham,True,2316 GRAND AVENUE,bbl_block
X00687136,New Building,5. Completed Construction,2129796,2025060125,2,78,WEST 170 STREET,2025.0,2022.0,0.0,39,39.0,39.0,2022-02-28,2022-06-10,2025-11-14,Other,PROPOSED ELEVEN (11) STORY AND CELLAR MIXED USED BUILDING,40.84009780501192,-73.92185815309105,204,16,BX0402,Highbridge,True,78 WEST 170 STREET,bbl_block
X00689879,Alteration,5. Completed Construction,2008443,2028650179,2,1665,DAVIDSON AVENUE,2023.0,2022.0,0.0,10,10.0,10.0,2022-03-20,2022-11-14,2023-08-01,Other,APPLICATION FILED HEREWITH FOR INTERIOR RENOVATIONS AND INCREASE IN NUMBER OF DWELLING UNITS FROM 3 TO 10 WITHIN THE EXISTING BULK OF 2 STORY AND BASEMENT RESIDENTIAL BUILDING.,40.84630895807352,-73.91463729468344,205,14,BX0501,University Heights (South)-Morris Heights,True,1665 DAVIDSON AVENUE,bbl_block
X00694049,New Building,5. Completed Construction,2130883,2025060082,2,1258,SHAKESPEARE AVENUE,2023.0,2022.0,0.0,90,90.0,90.0,2022-03-14,2022-05-26,2023-11-15,Other,Proposed seven (7) story residential building.,40.83872252219091,-73.92266117201977,204,16,BX0402,Highbridge,True,1258 SHAKESPEARE AVENUE,bbl_block
X00663777,Alteration,3. Permitted for Construction,2008190,2028490055,2,1712,TOWNSEND AVENUE,,2022.0,2.0,18,16.0,,2022-01-27,2022-06-14,,Other,Existing 2-Story 2-Family building to be enlarged and converted to a 4-story and penthouse 18-Family Dwelling,40.84654387121451,-73.91177858622399,205,14,BX0502,Mount Hope,False,1712 TOWNSEND AVENUE,bbl_block
X00728468,Alteration,3. Permitted for Construction,2008205,2028490085,2,55,CLIFFORD PLACE,,2024.0,0.0,12,12.0,,2022-06-13,2024-03-21,,Other,1. CONVERT EXISTING TWO (2) DWELLING UNITS   TO TWELVE (12)  DWELLING UNITS.2. PROPOSED VERTICAL & HORIZONTAL ENLARGEMENT W/  PENTHOUSE.3. OBTAIN A NEW CERTIFICATE OF OCCUPANCY.,40.84625041192649,-73.91186304360065,205,14,BX0502,Mount Hope,False,55 CLIFFORD PLACE,bbl_block
X00739669,Alteration,5. Completed Construction,2008164,2028480054,2,50,CLIFFORD PLACE,2024.0,2023.0,0.0,19,19.0,19.0,2022-06-13,2023-05-31,2024-09-06,Other,APPLICATION FILED HEREWITH TO PROPOSE THE FOLLOWING. HORIZONTAL ENLARGEMENT AT THE EXISTING FIRST & SECOND FLOOR. 2 STORY VERTICAL ENLARGEMENT WITH A PENTHOUSE AND BULK HEAD. INCREASED DWELLING UNITS TO 19 AND OBTAIN NEW CERTIFICATE OF OCCUPANCY.,40.84598971276738,-73.9122632648783,205,14,BX0502,Mount Hope,True,50 CLIFFORD PLACE,bbl_block
X00729880,New Building,5. Completed Construction,2008287,2028560011,2,1351,JEROME AVENUE,2025.0,2023.0,0.0,247,247.0,247.0,2022-05-04,2023-12-15,2025-03-21,Other,Proposing 14 story residential building,40.839514,-73.919267,204,16,BX0403,Mount Eden-Claremont (West),True,1351 JEROME AVENUE,bbl
X00787559,New Building,3. Permitted for Construction,2008251,2028530012,2,1940,JEROME AVENUE,,2024.0,0.0,115,115.0,,2022-08-22,2024-08-05,,Other,HUB CONSULTATION MEETING HELD AND ACCEPTED ON 8/8/2022. PROPOSE NEW 13-STORY PLUS CELLAR MIXED-USE BUILDING. OBTAIN NEW C OF O. THIS PROJECT IS MANDATORY INCLUSIONARY 100% LOW INCOME HOUSING AND QUALITY HOUSING.,40.850903,-73.909591,205,14,BX0502,Mount Hope,False,1940 JEROME AVENUE,bbl
X00804817,New Building,2. Approved Application,2129194,2031980012,2,41,NORTH STREET,,,0.0,38,38.0,,2023-01-09,,,Other,PROPOSED NEW SEVEN (7) STORY MIXED-USE BUILDING: THIRTY-FIGHT (38) DWELLING UNITS WITH COMMUNITY FACILITY ON THE GROUND AND ELEVEN (11) PARKING SPACES @ CELLAR,40.860302,-73.904618,207,14,BX0701,University Heights (North)-Fordham,False,41 NORTH STREET,bbl_block
X00805009,New Building,2. Approved Application,2008386,2028620090,2,1959,JEROME AVENUE,,,0.0,290,290.0,,2023-01-18,,,Other,NB filed to construct a new 16 story mixed use building of residential and commercial use to be reviewed via the HUB HPD Unit.,40.851444,-73.909966,205,14,BX0501,University Heights (South)-Morris Heights,False,1959 JEROME AVENUE,bbl
X00819177,Alteration,5. Completed Construction,2008701,2028720262,2,1584,JESUP AVENUE,2023.0,2023.0,2.0,9,7.0,9.0,2023-02-08,2023-07-19,2023-12-15,Other,Existing 2-Story and cellar 2-Family building to be converted to a 9-Family Dwelling,40.84542231579705,-73.91808109760609,205,14,BX0501,University Heights (South)-Morris Heights,True,1584 JESUP AVENUE,bbl_block
X00865295,Demolition,2. Approved Application,2014241,2031980014,2,2310,GRAND AVENUE,,,1.0,0,-1.0,,2023-07-31,,,1 Family,DEMOLITION MEANS AND METHODS OF THE EXISTING 2 STORY BUILDING.,40.86046047274187,-73.90457507005777,207,14,BX0701,University Heights (North)-Fordham,False,2310 GRAND AVENUE,bbl_block
