bbl,is_block,n_hdb_jobs,in_housingdb,in_housingdb_direct,hdb_match_via,has_historic_bbl,historic_bbl,reached_only_via_historic
3014370000,True,0,False,False,,False,,False
3014370001,False,1,True,True,bbl,False,,False
3014370006,False,0,False,False,,False,,False
3014370008,False,0,False,False,,False,,False
3014370014,False,0,False,False,,False,,False
3014370015,False,1,True,True,bin,False,,False
3014370021,False,0,False,False,,False,,False
3014370023,False,0,False,False,,False,,False
3014370025,False,0,False,False,,False,,False
3014370026,False,0,False,False,,False,,False
3014370027,False,0,False,False,,False,,False
3014370029,False,0,False,False,,False,,False
3014370030,False,0,False,False,,False,,False
3014370037,False,0,False,False,,False,,False
3014370038,False,0,False,False,,False,,False
3014370046,False,1,True,True,bbl,False,,False
3014370064,False,0,False,False,,False,,False
3014370069,False,0,False,False,,False,,False
3014370070,False,0,False,False,,False,,False
3014377501,False,0,False,False,,False,,False
3014440000,True,0,False,False,,False,,False
3014440001,False,0,False,False,,False,,False
3014440005,False,0,False,False,,False,,False
3014440009,False,0,False,False,,False,,False
3014440010,False,0,False,False,,False,,False
3014440011,False,0,False,False,,False,,False
3014440012,False,0,False,False,,False,,False
3014440013,False,0,False,False,,False,,False
3014440014,False,0,False,False,,False,,False
3014440015,False,1,True,True,bin,False,,False
3014440016,False,0,False,False,,False,,False
3014440017,False,0,False,False,,False,,False
3014440018,False,0,False,False,,False,,False
3014440019,False,1,True,True,bin,False,,False
3014440020,False,0,False,False,,False,,False
3014440021,False,0,False,False,,False,,False
3014440022,False,0,False,False,,False,,False
3014440023,False,0,False,False,,False,,False
3014440024,False,0,False,False,,False,,False
3014440027,False,0,False,False,,False,,False
3014440029,False,0,False,False,,False,,False
3014440030,False,0,False,False,,False,,False
3014440031,False,0,False,False,,False,,False
3014440033,False,0,False,False,,False,,False
3014440034,False,0,False,False,,False,,False
3014440035,False,1,True,True,bin,False,,False
3014440036,False,0,False,False,,False,,False
3014440037,False,0,False,False,,False,,False
3014440038,False,0,False,False,,False,,False
3014440039,False,0,False,False,,False,,False
3014440041,False,0,False,False,,False,,False
3014440042,False,1,True,True,bin,False,,False
3014440048,False,0,False,False,,False,,False
3014440049,False,0,False,False,,False,,False
3014440069,False,0,False,False,,False,,False
3014500001,False,2,True,True,bin,False,,False
3014500002,False,0,False,False,,False,,False
3014500003,False,0,False,False,,False,,False
3014500004,False,0,False,False,,False,,False
3014500005,False,0,False,False,,False,,False
3014500017,False,0,False,False,,False,,False
3014500018,False,0,False,False,,False,,False
3014500019,False,0,False,False,,False,,False
3014500020,False,0,False,False,,False,,False
3014500021,False,0,False,False,,False,,False
3014500022,False,0,False,False,,False,,False
3014500023,False,0,False,False,,False,,False
3014500024,False,0,False,False,,False,,False
3014500025,False,0,False,False,,False,,False
3014500027,False,0,False,False,,False,,False
3014500028,False,0,False,False,,False,,False
3014500029,False,0,False,False,,False,,False
3014500037,False,0,False,False,,False,,False
3014500038,False,0,False,False,,False,,False
3014500039,False,0,False,False,,False,,False
3014500040,False,0,False,False,,False,,False
3014500041,False,0,False,False,,False,,False
3014500042,False,0,False,False,,False,,False
3014500044,False,0,False,False,,False,,False
3014500045,False,0,False,False,,False,,False
3014500047,False,1,True,True,bin,False,,False
3014500048,False,1,True,True,bin,False,,False
3014500049,False,0,False,False,,False,,False
3014500050,False,0,False,False,,False,,False
3014500051,False,0,False,False,,False,,False
3014500053,False,0,False,False,,False,,False
3014560000,True,0,False,False,,False,,False
3014560001,False,1,True,True,bin,False,,False
3015400000,True,0,False,False,,False,,False
3015400001,False,0,False,False,,False,,False
3015400002,False,0,False,False,,False,,False
3015400003,False,0,False,False,,False,,False
3015400004,False,0,False,False,,False,,False
3015400005,False,0,False,False,,False,,False
3015400006,False,0,False,False,,False,,False
3015400013,False,0,False,False,,False,,False
3015400014,False,0,False,False,,False,,False
3015400016,False,0,False,False,,False,,False
3015400018,False,0,False,False,,False,,False
3015400022,False,0,False,False,,False,,False
3015400023,False,0,False,False,,False,,False
3015400024,False,0,False,False,,False,,False
3015400025,False,0,False,False,,False,,False
3015400026,False,1,True,True,bin,False,,False
3015400029,False,0,False,False,,False,,False
3015400030,False,0,False,False,,False,,False
3015400031,False,0,False,False,,False,,False
3015400033,False,1,True,True,bin,False,,False
3015400034,False,0,False,False,,False,,False
3015400035,False,0,False,False,,False,,False
3015400036,False,0,False,False,,False,,False
3015400037,False,0,False,False,,False,,False
3015400045,False,0,False,False,,False,,False
3015400047,False,0,False,False,,False,,False
3015400048,False,0,False,False,,False,,False
3015400049,False,0,False,False,,False,,False
3015400051,False,0,False,False,,False,,False
3015400052,False,0,False,False,,False,,False
3015400053,False,0,False,False,,False,,False
3015400054,False,0,False,False,,False,,False
3015400055,False,0,False,False,,False,,False
3015400056,False,0,False,False,,False,,False
3015400059,False,0,False,False,,False,,False
3015400060,False,0,False,False,,False,,False
3015400061,False,0,False,False,,False,,False
3015400062,False,0,False,False,,False,,False
3015400063,False,0,False,False,,False,,False
3015400064,False,0,False,False,,False,,False
3015400065,False,0,False,False,,False,,False
3015400066,False,0,False,False,,False,,False
3015400070,False,0,False,False,,False,,False
3015400072,False,0,False,False,,False,,False
3015400082,False,0,False,False,,False,,False
3015407501,False,0,False,False,,False,,False
3015407502,False,0,False,False,,False,,False
3015407503,False,1,True,True,bbl,False,,False
3015430000,True,0,False,False,,False,,False
3015430001,False,0,False,False,,False,,False
3015430007,False,1,True,True,bin,False,,False
3015430014,False,1,True,True,bin,False,,False
3015430015,False,0,False,False,,False,,False
3015430016,False,0,False,False,,False,,False
3015430017,False,0,False,False,,False,,False
3015430018,False,0,False,False,,False,,False
3015430019,False,0,False,False,,False,,False
