bin,base_bbl,input_list,resolution,last_status_type,address,construction_year,yearbuilt,bldgclass,landuse,is_apartment,res_units,unitstotal,numbldgs,assesstot,dob_is_apartment,dob_dwelling_units,dob_nb_filed,dob_nb_signoff,n_dob_filings,has_dob_record,the_geom_wkt
3038666,3014370008,unverified,block_expanded,Constructed,2402 ATLANTIC AVENUE,1920.0,1920.0,N9,8,False,0.0,1.0,1.0,3224700.0,True,24.0,,,16.0,True,"MULTIPOLYGON (((-73.905142 40.675867, -73.905166 40.675624, -73.90552 40.675643, -73.905512 40.675733, -73.905497 40.675887, -73.905294 40.675875, -73.905142 40.675867)))"
3038667,3014370015,unverified,block_expanded,Constructed,2416 ATLANTIC AVENUE,1920.0,1920.0,H3,5,False,0.0,1.0,1.0,3721500.0,True,119.0,,,15.0,True,"MULTIPOLYGON (((-73.904637 40.675839, -73.904661 40.675597, -73.90474 40.675602, -73.904789 40.675605, -73.904792 40.675575, -73.904864 40.675579, -73.904861 40.675609, -73.905018 40.675618, -73.904994 40.67586, -73.904678 40.675842, -73.904637 40.675839)))"
3330718,3014370021,unverified,block_expanded,Constructed,2432 ATLANTIC AVENUE,1926.0,1926.0,F9,6,False,0.0,1.0,2.0,307800.0,False,,,,,False,"MULTIPOLYGON (((-73.90442 40.675824, -73.904429 40.67575, -73.904604 40.675762, -73.904595 40.675837, -73.904504 40.67583, -73.90442 40.675824)))"
3330839,3014370021,unverified,block_expanded,Constructed,2432 ATLANTIC AVENUE,1926.0,1926.0,F9,6,False,0.0,1.0,2.0,307800.0,False,,,,,False,"MULTIPOLYGON (((-73.904268 40.675546, -73.904277 40.675458, -73.904283 40.675408, -73.904439 40.675356, -73.904463 40.675348, -73.904463 40.675353, -73.904471 40.675354, -73.904469 40.675373, -73.904461 40.675373, -73.904452 40.675449, -73.904438 40.675448, -73.904426 40.675557, -73.904268 40.675546)))"
3413636,3014370027,unverified,block_expanded,Constructed,2460 ATLANTIC AVENUE,2012.0,2012.0,F5,6,False,0.0,1.0,1.0,220050.0,False,,,,,False,"MULTIPOLYGON (((-73.904115 40.675545, -73.904267 40.675554, -73.904243 40.675767, -73.904091 40.675758, -73.904115 40.675545)))"
3413635,3014370038,unverified,block_expanded,Constructed,1745 EAST NEW YORK AVENUE,2012.0,2012.0,F5,6,False,0.0,1.0,1.0,85500.0,False,,,,1.0,True,"MULTIPOLYGON (((-73.904115 40.675545, -73.904124 40.675463, -73.904283 40.675408, -73.904277 40.675458, -73.904268 40.675546, -73.904267 40.675554, -73.904115 40.675545)))"
3038670,3014370064,unverified,block_expanded,Constructed,2385 PACIFIC STREET,1921.0,1921.0,O7,5,False,0.0,1.0,1.0,283500.0,False,,,,8.0,True,"MULTIPOLYGON (((-73.905911 40.675376, -73.905912 40.675363, -73.906089 40.675372, -73.906086 40.675408, -73.906062 40.675663, -73.906005 40.67566, -73.906007 40.675641, -73.905887 40.675634, -73.905911 40.675376)))"
3038804,3014440001,unverified,block_expanded,Constructed,2447 DEAN STREET,1927.0,1927.0,S2,4,False,2.0,3.0,1.0,72840.0,False,2.0,,,4.0,True,"MULTIPOLYGON (((-73.906071 40.674808, -73.906075 40.674764, -73.906089 40.674592, -73.906159 40.674595, -73.906142 40.6748, -73.906141 40.674811, -73.906071 40.674808)))"
3345137,3014440005,unverified,block_expanded,Constructed,141 SACKMAN STREET,1921.0,1921.0,F5,6,False,0.0,1.0,1.0,136350.0,False,,,,,False,"MULTIPOLYGON (((-73.905947 40.674874, -73.905921 40.674873, -73.905927 40.6748, -73.905999 40.674804, -73.906071 40.674808, -73.906141 40.674811, -73.906128 40.674958, -73.906023 40.674953, -73.905953 40.67495, -73.905957 40.674906, -73.90596 40.674875, -73.905947 40.674874)))"
3038806,3014440009,unverified,block_expanded,Constructed,2390 PACIFIC STREET,1901.0,1901.0,B2,1,False,2.0,2.0,1.0,62640.0,False,,,,,False,"MULTIPOLYGON (((-73.906052 40.675176, -73.906066 40.675032, -73.906066 40.675031, -73.906073 40.67496, -73.906129 40.674963, -73.906117 40.675088, -73.906108 40.675179, -73.906052 40.675176)))"
