bbl,in_current_pluto,pluto_current_bbl,successor_source,bbl_sunsetted
3039500007,True,3039500007,,False
3039500047,True,3039500047,,False
3039520004,True,3039520004,,False
3039520020,True,3039520020,,False
3039520022,True,3039520022,,False
3039520023,True,3039520023,,False
3039520027,True,3039520027,,False
3039520042,True,3039520042,,False
3039540018,True,3039540018,,False
3039540019,True,3039540019,,False
3039560059,True,3039560059,,False
3039580011,True,3039580011,,False
3039580049,True,3039580049,,False
3039600005,True,3039600005,,False
3039600046,True,3039600046,,False
3039600065,True,3039600065,,False
3039710019,True,3039710019,,False
3039710031,True,3039710031,,False
3039710047,True,3039710047,,False
3039710049,True,3039710049,,False
3039710050,True,3039710050,,False
3039710051,True,3039710051,,False
3039730050,True,3039730050,,False
3039770001,True,3039770001,,False
3039770032,True,3039770032,,False
3039770033,True,3039770033,,False
3039777501,True,3039777501,,False
3039810035,True,3039810035,,False
3039830010,True,3039830010,,False
3039830011,True,3039830011,,False
3039830012,True,3039830012,,False
3039830013,True,3039830013,,False
3039830014,True,3039830014,,False
3039830125,True,3039830125,,False
3039850001,True,3039850001,,False
3039850003,True,3039850003,,False
3039870010,True,3039870010,,False
3039870014,True,3039870014,,False
3039890001,True,3039890001,,False
3039890007,True,3039890007,,False
3039890009,True,3039890009,,False
3039890016,True,3039890016,,False
3039890018,True,3039890018,,False
3039890032,True,3039890032,,False
3039910037,True,3039910037,,False
3039930001,True,3039930001,,False
3039950032,True,3039950032,,False
3039990004,True,3039990004,,False
3039990032,True,3039990032,,False
3039990035,True,3039990035,,False
3040010001,True,3040010001,,False
3040030001,True,3040030001,,False
3040030003,True,3040030003,,False
3040030035,True,3040030035,,False
3040060013,True,3040060013,,False
3040060031,True,3040060031,,False
3040080021,True,3040080021,,False
3040200016,True,3040200016,,False
3041430003,True,3041430003,,False
3041437501,True,3041437501,,False
3041437502,True,3041437502,,False
3041540007,True,3041540007,,False
3041540008,True,3041540008,,False
3041540019,True,3041540019,,False
3041540027,True,3041540027,,False
3041540061,True,3041540061,,False
3041540087,True,3041540087,,False
3041547501,True,3041547501,,False
3041620002,True,3041620002,,False
3041900012,True,3041900012,,False
3041900025,True,3041900025,,False
3041900040,True,3041900040,,False
3041930129,True,3041930129,,False
3042080010,True,3042080010,,False
3042080017,True,3042080017,,False
3042080035,True,3042080035,,False
3042100017,True,3042100017,,False
3042100034,True,3042100034,,False
