bin,bbl,pluto_current_bbl,n_bbls,scope_via,address,pluto_address,lat,lon,geom_source,pluto_yearbuilt,oti_construction_year,hdb_nb_complt_year,hdb_first_complt_year,hdb_last_complt_year,demo_complt_year,demolished_post_rezone,rebuilt_after_demo,n_demolition,n_jobs,n_completed,job_types,n_new_building,hdb_status,net_units,units_co,pluto_unitsres,pluto_bldgclass,pluto_numbldgs,bin_is_sentinel,base_bbl,mappluto_bbl,last_status_type,feature_code,height_roof,ground_elevation,shape_area,doitt_id,the_geom_wkt
3087869,3039500047,3039500047,1,bbl_block,2863 ATLANTIC AVENUE,2863 ATLANTIC AVENUE,40.677293,-73.888487,hdb_point,,,,2018.0,2018.0,2018.0,True,False,1,1,1.0,Demolition,0,5. Completed Construction,-2.0,0.0,0,V1,1,False,,,,,,,,,
3087909,3039520004,3039520004,1,bbl_block,245 WARWICK STREET,245 WARWICK STREET,40.67808646569088,-73.88680100549854,oti_polygon,1901,1901.0,,,,,False,False,0,1,0.0,Alteration,0,1. Filed Application,0.0,0.0,2,B2,1,False,3039520004,3039520004,Constructed,2100,36.9,33.0,153.29296875,755036,"MULTIPOLYGON (((-73.886714 40.67812, -73.886703 40.678073, -73.886713 40.678072, -73.886799 40.67806, -73.886881 40.678049, -73.886889 40.678081, -73.886888 40.678081, -73.886894 40.678103, -73.886856 40.678108, -73.886785 40.678118, -73.886783 40.678111, -73.886754 40.678115, -73.886714 40.67812)))"
3087923,3039520023,3039520023,1,bbl_block,2930 FULTON STREET,2928 FULTON STREET,40.67912321642334,-73.88657014748956,oti_polygon,1930,1930.0,,2013.0,2024.0,,False,False,0,2,2.0,Alteration,0,5. Completed Construction,6.0,12.0,2,K4,1,False,3039520023,3039520023,Constructed,2100,33.3,31.0,681.2265625,207265,"MULTIPOLYGON (((-73.886579 40.67899, -73.886587 40.679023, -73.886626 40.679018, -73.886637 40.679064, -73.886651 40.679064, -73.886688 40.679214, -73.886524 40.679266, -73.886455 40.679007, -73.886579 40.67899)))"
3087925,3039520027,3039520027,1,bbl_block,156 ASHFORD STREET,156 ASHFORD STREET,40.678875589139125,-73.88663650126968,oti_polygon,2013,2013.0,2013.0,2013.0,2013.0,,False,False,0,1,1.0,New Building,1,5. Completed Construction,4.0,4.0,4,S4,1,False,3039520027,3039520027,Constructed,2100,27.0,32.0,331.22265625,440833,"MULTIPOLYGON (((-73.886792 40.678887, -73.886788 40.678888, -73.886496 40.678931, -73.886481 40.678865, -73.886715 40.678829, -73.886775 40.67882, -73.886779 40.678837, -73.886792 40.678887)))"
3087939,3039520042,3039520042,1,bbl_block,200 ASHFORD STREET,2929 ATLANTIC AVENUE,40.67783224805355,-73.88629209859792,oti_polygon,1930,1930.0,,,,,False,False,0,1,0.0,New Building,1,1. Filed Application,0.0,0.0,0,K4,1,False,3039520042,3039520042,Constructed,2100,27.08,32.0,1190.58984375,354202,"MULTIPOLYGON (((-73.88644 40.67787, -73.886457 40.677935, -73.886257 40.67798, -73.886197 40.677994, -73.886127 40.677733, -73.886385 40.677668, -73.886418 40.677788, -73.88644 40.67787)))"
3087996,3039540018,3039540018,1,bbl_block,2964 FULTON STREET,2964 FULTON STREET,40.67958103491663,-73.8852855999003,oti_polygon,1905,1905.0,,2011.0,2011.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,1.0,2.0,2,B1,1,False,3039540018,3039540018,Constructed,2100,27.83,34.0,202.8828125,283846,"MULTIPOLYGON (((-73.885223 40.679506, -73.885272 40.679498, -73.885281 40.679533, -73.885322 40.679527, -73.885329 40.679552, -73.88535 40.679634, -73.885264 40.679662, -73.885262 40.679655, -73.885223 40.679506)))"
3087997,3039540019,3039540019,1,bbl_block,2966 FULTON STREET,2966 FULTON STREET,40.67958371053946,-73.8851943894993,oti_polygon,1920,1920.0,,2011.0,2011.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,0.0,2.0,2,K4,1,False,3039540019,3039540019,Constructed,2100,23.96,36.0,296.08984375,710372,"MULTIPOLYGON (((-73.885124 40.679497, -73.885218 40.679483, -73.885223 40.679506, -73.885262 40.679655, -73.885264 40.679662, -73.885261 40.679663, -73.885174 40.679691, -73.885124 40.679497)))"
3088142,3039580011,3039580011,1,bbl_block,193 SHEPHERD AVENUE,193 SHEPHERD AVENUE,40.68006330959948,-73.88157375828163,oti_polygon,1901,1901.0,,2016.0,2016.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,0.0,2.0,2,B1,1,False,3039580011,3039580011,Constructed,2100,27.25,40.0,174.1015625,250444,"MULTIPOLYGON (((-73.881467 40.680052, -73.881662 40.680023, -73.881667 40.680042, -73.881671 40.680044, -73.881674 40.680045, -73.881677 40.680048, -73.88168 40.68005, -73.881682 40.680053, -73.881682 40.680053, -73.881683 40.680057, -73.881683 40.68006, -73.881683 40.680063, -73.881682 40.680067, -73.88168 40.68007, -73.881678 40.680072, -73.881675 40.680075, -73.881669 40.680076, -73.88148 40.680103, -73.881467 40.680052)))"
3088379,3039710031,3039710031,1,bbl_block,256 ESSEX STREET,256 ESSEX STREET,40.677757,-73.882927,hdb_point,1901,,,,,,False,False,0,1,0.0,New Building,1,1. Filed Application,0.0,0.0,2,B2,1,False,,,,,,,,,
3088390,3039710047,3039710047,1,bbl_block,737 LIBERTY AVENUE,737 LIBERTY AVENUE,40.67661911326604,-73.88259096899995,oti_polygon,2007,2007.0,2015.0,2015.0,2020.0,,False,False,0,2,2.0,Alteration; New Building,1,5. Completed Construction,10.0,13.0,10,C1,1,False,3039710047,3039710047,Constructed,2100,27.28200113,27.0,204.08203125,1186415,"MULTIPOLYGON (((-73.882624 40.676551, -73.882658 40.676671, -73.882556 40.676686, -73.882525 40.676566, -73.882624 40.676551)))"
3088392,3039710051,3039710051,1,bbl_block,729 LIBERTY AVENUE,729 LIBERTY AVENUE,40.67660891507859,-73.88287036938193,oti_polygon,2021,2022.0,2021.0,2019.0,2021.0,2019.0,True,True,1,2,2.0,Demolition; New Building,1,5. Completed Construction,8.0,10.0,10,C7,1,False,3039710051,3039710051,Constructed,2100,53.0,26.0,270.671875,1298116,"MULTIPOLYGON (((-73.882803 40.676523, -73.882803 40.676521, -73.882888 40.676509, -73.882937 40.676697, -73.882853 40.67671, -73.882835 40.676641, -73.882803 40.676523)))"
3088475,3039770001,3039770001,1,bbl_block,275 MILLER AVENUE,275 MILLER AVENUE,40.67432115710339,-73.89139230462835,oti_polygon,1930,1930.0,,2021.0,2021.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,7.0,7.0,7,C1,1,False,3039770001,3039770001,Constructed,2100,27.61,43.0,611.71875,579895,"MULTIPOLYGON (((-73.891234 40.674398, -73.891204 40.674279, -73.891271 40.674269, -73.89128 40.674303, -73.891316 40.674298, -73.891312 40.674282, -73.891558 40.674246, -73.891584 40.674347, -73.891234 40.674398)))"
3088579,3039810035,3039810035,1,bbl_block,605 GLENMORE AVENUE,605 GLENMORE AVENUE,40.674613,-73.887864,hdb_point,,,,2024.0,2024.0,2024.0,True,False,1,1,1.0,Demolition,0,5. Completed Construction,-1.0,0.0,0,V0,1,False,,,,,,,,,
3088675,3039870010,3039870010,1,bbl_block,720 LIBERTY AVENUE,720 LIBERTY AVENUE,40.67621774132951,-73.88304766559052,oti_polygon,2021,1925.0,2023.0,2023.0,2023.0,,False,False,0,1,1.0,New Building,1,5. Completed Construction,10.0,10.0,10,C7,2,False,3039870010,3039870010,Constructed,2100,29.28,25.0,313.40625,236534,"MULTIPOLYGON (((-73.882989 40.67617, -73.882976 40.676121, -73.883065 40.676108, -73.883104 40.676255, -73.883118 40.67631, -73.883119 40.676314, -73.88303 40.676328, -73.883021 40.676295, -73.882989 40.67617)))"
3088722,3039890007,3039890007,1,bbl_block,341 SHEPHERD AVENUE,341 SHEPHERD AVENUE,40.676215,-73.881029,hdb_point,,,,2022.0,2022.0,2022.0,True,False,1,1,1.0,Demolition,0,5. Completed Construction,-2.0,0.0,0,V0,0,False,,,,,,,,,
3088723,3039890009,3039890009,1,bbl_block,339 SHEPHERD AVENUE,339 SHEPHERD AVENUE,40.676303322716194,-73.88111903174736,oti_polygon,1915,1915.0,,,,,False,False,0,1,0.0,Alteration,0,1. Filed Application,0.0,0.0,2,B2,1,False,3039890009,3039890009,Constructed,2100,25.37,31.0,166.90625,849566,"MULTIPOLYGON (((-73.88119 40.676271, -73.881223 40.676266, -73.881233 40.676312, -73.88121 40.676315, -73.881015 40.67634, -73.881005 40.676295, -73.88119 40.676271)))"
3088725,3039890018,3039890018,1,bbl_block,94 BERRIMAN STREET,94 BERRIMAN STREET,40.67652653104268,-73.88066396747217,oti_polygon,1925,1925.0,,,,,False,False,0,1,0.0,Alteration,0,1. Filed Application,0.0,0.0,4,C3,1,False,3039890018,3039890018,Constructed,2100,25.55,33.0,189.34765625,460178,"MULTIPOLYGON (((-73.880552 40.676516, -73.880763 40.676485, -73.880776 40.676538, -73.880565 40.676569, -73.880552 40.676516)))"
3088731,3039890032,3039890032,1,bbl_block,803 GLENMORE AVENUE,803 GLENMORE AVENUE,40.675665,-73.88058,hdb_point,,,,,,,False,False,0,1,0.0,New Building,1,1. Filed Application,0.0,0.0,0,V1,1,False,,,,,,,,,
3088748,3039910037,3039910037,1,bbl_block,849 GLENMORE AVENUE,849 GLENMORE AVENUE,40.67588815192693,-73.8788326345186,oti_polygon,1910,1910.0,,2021.0,2021.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,1.0,2.0,2,B3,1,False,3039910037,3039910037,Constructed,2100,25.03,33.0,128.9765625,705607,"MULTIPOLYGON (((-73.878782 40.675847, -73.878782 40.675844, -73.878794 40.675842, -73.878858 40.675832, -73.878884 40.675932, -73.878808 40.675944, -73.878793 40.675887, -73.878782 40.675847)))"
3088808,3039950032,3039950032,1,bbl_block,2263 PITKIN AVENUE,2263 PITKIN AVENUE,40.67311070650688,-73.88897376042311,oti_polygon,2010,2010.0,2022.0,2022.0,2022.0,,False,False,0,1,1.0,New Building,1,5. Completed Construction,3.0,3.0,3,C0,1,False,3039950032,3039950032,Constructed,2100,23.98,36.0,190.640625,50173,"MULTIPOLYGON (((-73.888916 40.673046, -73.888997 40.673035, -73.889031 40.673176, -73.888955 40.673186, -73.888951 40.673187, -73.888935 40.673122, -73.888916 40.673046)))"
3088877,3039990035,3039990035,1,bbl_block,2349 PITKIN AVENUE,2349 PITKIN AVENUE,40.67360194312357,-73.88562457645862,oti_polygon,1935,1935.0,,2025.0,2025.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,6.0,9.0,3,C0,1,False,3039990035,3039990035,Constructed,2100,33.85,33.0,171.8671875,467548,"MULTIPOLYGON (((-73.885643 40.673525, -73.885647 40.673543, -73.885676 40.67367, -73.885606 40.673679, -73.885573 40.673534, -73.885585 40.673533, -73.885643 40.673525)))"
3088947,3040030003,3040030003,1,bbl_block,447 LINWOOD STREET,447 LINWOOD STREET,40.674446,-73.882464,hdb_point,,,,2022.0,2022.0,2022.0,True,False,1,1,1.0,Demolition,0,5. Completed Construction,-2.0,0.0,0,V0,0,False,,,,,,,,,
3089282,3040200016,3040200016,1,bbl,428 SHEPHERD AVENUE,428 SHEPHERD AVENUE,40.67389887312154,-73.88097576855985,oti_polygon,1901,1901.0,,2010.0,2010.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,0.0,2.0,2,B2,1,False,3040200016,3040200016,Constructed,2100,27.69,26.0,157.29296875,554,"MULTIPOLYGON (((-73.880878 40.673889, -73.881025 40.673867, -73.881073 40.673859, -73.881083 40.673897, -73.881032 40.673904, -73.881035 40.673918, -73.881001 40.673923, -73.880894 40.673939, -73.880892 40.67393, -73.880881 40.673926, -73.880879 40.673918, -73.880884 40.673908, -73.880878 40.673889)))"
3093157,3041540007,3041540007,1,bbl_block,339 LOGAN STREET,339 LOGAN STREET,40.67813251330089,-73.87677847492981,oti_polygon,1910,1910.0,,2012.0,2012.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,0.0,2.0,2,B2,1,False,3041540007,3041540007,Constructed,2100,28.0,36.0,189.94140625,1253815,"MULTIPOLYGON (((-73.876672 40.67812, -73.876872 40.678089, -73.876884 40.678145, -73.876687 40.678176, -73.876672 40.67812)))"
3093161,3041540019,3041540019,1,bbl_block,303 LOGAN STREET,303 LOGAN STREET,40.67887382025916,-73.87698888461358,oti_polygon,1910,1910.0,,,,,False,False,0,1,0.0,Alteration,0,2. Approved Application,0.0,0.0,1,A9,2,False,3041540019,3041540019,Constructed,2100,27.09,39.0,168.69140625,587246,"MULTIPOLYGON (((-73.876887 40.678861, -73.87704 40.678839, -73.877069 40.678835, -73.87707 40.678835, -73.877073 40.678847, -73.877083 40.678846, -73.877093 40.678886, -73.877081 40.678888, -73.87705 40.678892, -73.8769 40.678913, -73.876887 40.678861)))"
3093168,3041540027,3041540027,1,bbl_block,285 LOGAN STREET,285 LOGAN STREET,40.67934637849393,-73.87709901716306,oti_polygon,1910,1910.0,,,,,False,False,0,1,0.0,Alteration,0,3. Permitted for Construction,0.0,0.0,2,S2,1,False,3041540027,3041540027,Constructed,2100,27.37,39.0,157.25,568905,"MULTIPOLYGON (((-73.877075 40.679379, -73.877072 40.679379, -73.877023 40.679386, -73.877023 40.679386, -73.877009 40.67933, -73.877113 40.679315, -73.877173 40.679307, -73.877175 40.679306, -73.877189 40.679363, -73.877171 40.679365, -73.877105 40.679375, -73.877075 40.679379)))"
3093196,3041540087,3041540087,1,bbl_block,88 FOUNTAIN AVENUE,88 FOUNTAIN AVENUE,40.67803010538575,-73.87625298259546,oti_polygon,1910,1910.0,,2010.0,2010.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,0.0,3.0,3,C0,1,False,3041540087,3041540087,Constructed,2100,37.3,30.0,158.6484375,705297,"MULTIPOLYGON (((-73.876158 40.678017, -73.876337 40.67799, -73.876352 40.678046, -73.876302 40.678054, -73.876298 40.678039, -73.87625 40.678046, -73.876254 40.678061, -73.876172 40.678073, -73.876158 40.678017)))"
3093263,3041620002,3041620002,1,bbl_block,3320 ATLANTIC AVENUE,3320 ATLANTIC AVENUE,40.68103745797791,-73.87296059920058,oti_polygon,1950,1950.0,,,,,False,False,1,2,0.0,Demolition; New Building,1,2. Approved Application,0.0,0.0,0,G2,1,False,3041620002,3041620002,Constructed,2100,18.45,39.0,250.9375,805063,"MULTIPOLYGON (((-73.872926 40.681117, -73.872901 40.681017, -73.872891 40.680976, -73.873 40.680961, -73.87303 40.681086, -73.872928 40.681126, -73.872926 40.681117)))"
3094551,3042080017,3042080017,1,bbl_block,886 GLENMORE AVENUE,886 GLENMORE AVENUE,40.67580846118023,-73.8772515462959,oti_polygon,2017,2021.0,2021.0,2021.0,2021.0,,False,False,0,1,1.0,New Building,1,5. Completed Construction,3.0,3.0,3,C0,1,False,3042080017,3042080017,Constructed,2100,35.0,28.0,134.7109375,1294257,"MULTIPOLYGON (((-73.877234 40.675874, -73.877203 40.675753, -73.877269 40.675743, -73.8773 40.675864, -73.877234 40.675874)))"
3094616,3042100017,3042100017,1,bbl_block,950 GLENMORE AVENUE,946 GLENMORE AVENUE,40.676060132498286,-73.87498398973493,oti_polygon,1930,1930.0,,,,,False,False,0,1,0.0,New Building,1,1. Filed Application,0.0,0.0,0,K2,1,False,3042100017,3042100017,Constructed,2100,29.42,30.0,801.3359375,783661,"MULTIPOLYGON (((-73.874862 40.675938, -73.874905 40.675932, -73.875036 40.675912, -73.875071 40.676048, -73.875106 40.676182, -73.874931 40.676208, -73.874865 40.675951, -73.874862 40.675938)))"
3252981,3042080010,3042080010,1,bbl_block,175 MILFORD STREET,175 MILFORD STREET,40.675343,-73.87699,hdb_point,,,,,,,False,False,0,1,0.0,New Building,1,1. Filed Application,0.0,0.0,0,V0,1,False,,,,,,,,,
3252982,3042080035,3042080035,1,bbl_block,446 LOGAN STREET,446 LOGAN STREET,40.675282,-73.876611,hdb_point,,,,,,,False,False,0,1,0.0,New Building,1,1. Filed Application,0.0,0.0,0,V0,1,False,,,,,,,,,
3256546,3039580049,3039580049,1,bbl_block,240 HIGHLAND PLACE,3101 ATLANTIC AVENUE,40.679289,-73.881143,hdb_point,1957,,,,,,False,False,0,2,0.0,New Building,2,1. Filed Application,0.0,0.0,0,K5,1,False,,,,,,,,,
3319652,3040010001,3040010001,1,bbl_block,437 CLEVELAND STREET,437 CLEVELAND STREET,40.6740629001293,-73.88409596548689,oti_polygon,2017,2018.0,2019.0,2019.0,2019.0,,False,False,0,1,1.0,New Building,1,5. Completed Construction,2.0,2.0,2,B1,1,False,3040010001,3040010001,Constructed,2100,27.0,34.0,210.5234375,1291600,"MULTIPOLYGON (((-73.883978 40.674053, -73.884199 40.674017, -73.884214 40.674073, -73.883993 40.674109, -73.883978 40.674053)))"
3319656,3040030035,3040030035,1,bbl_block,2437 PITKIN AVENUE,2433 PITKIN AVENUE,40.67413761612905,-73.8824654009287,oti_polygon,2019,2021.0,2020.0,2020.0,2020.0,,False,False,0,1,1.0,New Building,1,5. Completed Construction,32.0,32.0,32,D6,1,False,3040030035,3040030035,Constructed,2100,90.0,27.0,818.69140625,1294891,"MULTIPOLYGON (((-73.882342 40.674014, -73.88252 40.673988, -73.882589 40.674261, -73.882411 40.674287, -73.882342 40.674014)))"
3327140,3039770033,3039770033,1,bbl_block,527 GLENMORE AVENUE,527 GLENMORE AVENUE,40.67412346887548,-73.8908738523926,oti_polygon,1925,1925.0,,2023.0,2023.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,2.0,2.0,2,B9,1,False,3039770032,3039770032,Constructed,2100,26.07,43.0,433.7578125,147308,"MULTIPOLYGON (((-73.890777 40.674057, -73.890949 40.674031, -73.890958 40.674066, -73.890976 40.674135, -73.89095 40.674139, -73.890953 40.674152, -73.890894 40.674161, -73.890915 40.674238, -73.890858 40.674247, -73.890843 40.674202, -73.890812 40.674206, -73.890777 40.674057)))"
3328367,3039600065,3039600065,1,bbl_block,3141 ATLANTIC AVENUE,3141 ATLANTIC AVENUE,40.679803123218015,-73.87939500528272,oti_polygon,2010,2010.0,,,,,False,False,0,1,0.0,New Building,1,2. Approved Application,0.0,0.0,0,G2,1,False,3039600065,3039600065,Constructed,2100,21.28157121,41.0,179.234375,1153224,"MULTIPOLYGON (((-73.879338 40.679745, -73.879422 40.679734, -73.879452 40.679861, -73.879368 40.679873, -73.879338 40.679745)))"
3328398,3039710049,3039710049,1,bbl_block,735 REAR LIBERTY AVENUE,735 LIBERTY AVENUE,40.67667025430372,-73.88269379992984,oti_polygon,2022,2022.0,2021.0,2018.0,2021.0,2018.0,True,True,2,3,3.0,Demolition; New Building,1,5. Completed Construction,8.0,10.0,10,C7,1,False,3039710049,3039710049,Constructed,2100,49.0,27.0,270.4453125,1297901,"MULTIPOLYGON (((-73.882715 40.676537, -73.882763 40.676714, -73.882674 40.676728, -73.882658 40.676671, -73.882624 40.676551, -73.882715 40.676537)))"
3328465,3039930001,3039930001,1,bbl_block,2219 PITKIN AVENUE,2211 PITKIN AVENUE,40.67304523288359,-73.89061815200631,oti_polygon,1970,1970.0,,2025.0,2025.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,0.0,16.0,16,C1,3,False,3039930001,3039930001,Constructed,2100,42.61,38.0,1226.421875,194103,"MULTIPOLYGON (((-73.890654 40.673273, -73.890577 40.673285, -73.89057 40.673258, -73.890593 40.673254, -73.89059 40.67324, -73.890574 40.673243, -73.890571 40.673229, -73.890586 40.673227, -73.890561 40.673131, -73.89056 40.673127, -73.890563 40.673127, -73.890568 40.673126, -73.890566 40.67312, -73.890564 40.673113, -73.890557 40.673114, -73.89055 40.67309, -73.890558 40.673089, -73.890551 40.673062, -73.890544 40.673063, -73.89054 40.67305, -73.890516 40.673053, -73.89051 40.673028, -73.890534 40.673025, -73.89053 40.67301, -73.890514 40.673012, -73.890511 40.672999, -73.890526 40.672997, -73.8905 40.672897, -73.890507 40.672896, -73.890504 40.672883, -73.890497 40.672884, -73.890491 40.672861, -73.890498 40.67286, -73.890491 40.672833, -73.890484 40.672834, -73.89048 40.672819, -73.890626 40.672797, -73.89063 40.672812, -73.890639 40.672811, -73.890646 40.672838, -73.890637 40.672839, -73.890643 40.672862, -73.890652 40.672861, -73.890655 40.672874, -73.890646 40.672875, -73.890659 40.672925, -73.890672 40.672975, -73.890681 40.672974, -73.890684 40.672987, -73.890676 40.672988, -73.89068 40.673003, -73.890731 40.672996, -73.890737 40.673022, -73.890686 40.673029, -73.890689 40.673041, -73.890698 40.67304, -73.890705 40.673067, -73.890696 40.673068, -73.890703 40.673092, -73.890712 40.673091, -73.890715 40.673104, -73.890706 40.673105, -73.890732 40.673205, -73.890743 40.673203, -73.890746 40.673217, -73.890736 40.673218, -73.890739 40.673232, -73.89079 40.673224, -73.890797 40.673252, -73.890654 40.673273)))"
3341486,3039870014,3039870014,1,bbl_block,728 LIBERTY AVENUE,728 LIBERTY AVENUE,40.67629221931318,-73.88269156881775,oti_polygon,1925,1925.0,,,,,False,False,0,1,0.0,Alteration,0,1. Filed Application,0.0,0.0,4,S9,1,False,3039870014,3039870014,Constructed,2100,37.22,26.0,278.43359375,153022,"MULTIPOLYGON (((-73.882748 40.676304, -73.882765 40.676368, -73.882666 40.676383, -73.882664 40.676376, -73.882638 40.676276, -73.882617 40.676197, -73.882653 40.676192, -73.882662 40.676224, -73.882725 40.676214, -73.882737 40.676258, -73.882748 40.676304)))"
3380644,3041930129,3041930129,1,bbl_block,30 DOSCHER STREET,30 DOSCHER STREET,40.6768974652536,-73.8734148254778,hdb_point,2023,,,2025.0,2025.0,2025.0,True,False,1,2,1.0,Demolition; New Building,1,5. Completed Construction,-2.0,0.0,2,B2,0,False,,,,,,,,,
3394600,3039990032,3039990032,1,bbl_block,2359 PITKIN AVENUE,2359 PITKIN AVENUE,40.67368498917939,-73.88540955884835,oti_polygon,2010,2010.0,2019.0,2019.0,2019.0,,False,False,0,1,1.0,New Building,1,5. Completed Construction,3.0,3.0,3,C0,1,False,3039990032,3039990032,Constructed,2100,32.0,34.0,206.15234375,1281991,"MULTIPOLYGON (((-73.885349 40.673619, -73.885413 40.673609, -73.885434 40.673606, -73.885469 40.673751, -73.885454 40.673754, -73.885386 40.673764, -73.885349 40.673619)))"
3396924,3039830125,3039830125,1,bbl_block,296 ASHFORD STREET,296 ASHFORD STREET,40.67519536625446,-73.88568251030503,oti_polygon,2009,2009.0,2011.0,2011.0,2011.0,,False,False,0,1,1.0,New Building,1,5. Completed Construction,2.0,2.0,2,B2,1,False,3039830125,3039830125,Constructed,2100,23.84338684,38.0,156.6640625,1223169,"MULTIPOLYGON (((-73.885582 40.675184, -73.88577 40.675157, -73.885783 40.675206, -73.885595 40.675234, -73.885582 40.675184)))"
3397036,3039777501,3039777501,1,bbl_block,509 GLENMORE AVENUE,509 GLENMORE AVENUE,40.67408430431706,-73.89134261001676,oti_polygon,2011,,2010.0,2010.0,2010.0,,False,False,0,1,1.0,New Building,1,5. Completed Construction,12.0,12.0,12,R2,1,False,3039770039,3039777501,Constructed,2100,45.61326252,41.0,642.10546875,1247339,"MULTIPOLYGON (((-73.891257 40.674191, -73.891248 40.674158, -73.891223 40.674162, -73.89119 40.674034, -73.891458 40.673993, -73.891492 40.674121, -73.891464 40.674126, -73.891473 40.674158, -73.891423 40.674166, -73.891415 40.674132, -73.891299 40.67415, -73.891307 40.674183, -73.891257 40.674191)))"
3397139,3039600005,3039600005,1,bbl_block,207 HALE AVENUE,207 HALE AVENUE,40.680191,-73.879631,hdb_point,,,,,,,False,False,0,1,0.0,New Building,1,3. Permitted for Construction,0.0,0.0,0,G7,0,False,,,,,,,,,
3397490,3041900025,3041900025,1,bbl_block,902 LIBERTY AVENUE,902 LIBERTY AVENUE,40.677201528613566,-73.87629981067116,oti_polygon,2009,2009.0,2010.0,2010.0,2010.0,,False,False,0,1,1.0,New Building,1,5. Completed Construction,47.0,47.0,46,D9,1,False,3041900025,3041900025,Constructed,2100,34.74515148,29.0,1918.1015625,1158961,"MULTIPOLYGON (((-73.876027 40.677337, -73.875969 40.677111, -73.876142 40.677085, -73.87616 40.677153, -73.876628 40.677083, -73.876668 40.67724, -73.876027 40.677337)))"
