Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,hdb_completed,hdb_address,hdb_match_via,hdb_bbl_used,our_bbl,hdb_bbl_is_historic,matched_bin,bin_attach
B00489656,New Building,3. Permitted for Construction,3428980,3039500007,3,221,BARBEY STREET,,2022.0,0.0,2,2.0,,2021-03-30,2022-03-10,,2 Family,PROPOSED NEW THREE STORIES TWO FAMILY DWELLINGS WITH CELLAR,False,221 BARBEY STREET,bbl,3039500007,3039500007,False,,no_footprint
B00490609,Alteration,5. Completed Construction,3089143,3040130009,3,2300,PITKIN AVENUE,2023.0,2022.0,2.0,3,1.0,3.0,2021-05-12,2022-06-13,2023-10-24,3 Family,PROPOSE CHANGE FROM 2 DU TO 3DU. AND REPAIR 3RD FLOOR FIRE DAMAGE APARTMENT.,True,2300 PITKIN AVENUE,bin,3040130009,3040130009,False,3089143,hdb_bin
B00497330,New Building,5. Completed Construction,3428982,3041530027,3,25,MILFORD STREET,2024.0,2023.0,0.0,2,2.0,2.0,2021-04-28,2023-04-04,2024-04-09,2 Family,NEW 3-STORY 2-FAMILY HOUSE,True,25 MILFORD STREET,bbl,3041530027,3041530027,False,,no_footprint
B00512095,New Building,2. Approved Application,3328367,3039600065,3,3141,ATLANTIC AVENUE,,,0.0,8,8.0,,2021-05-16,,,Other,PROPOSED NEW FIVE (5) STORY WITH CELLAR.  MIXED-USE BUILDING. MECHANICAL (MH) STRUCTURAL (ST) PLUMBING/SPRINKLER/STANDPIPE (PL/SP/SD) FIRE ALARM(FA) & BPP FILED SEPERATELY. 8 CLASS A DWELLING,False,3141 ATLANTIC AVENUE,bin,3039600065,3039600065,False,3328367,hdb_bin
B00546778,Alteration,1. Filed Application,3083269,3036690010,3,43,SHEFFIELD AVENUE,,,0.0,8,8.0,,2021-08-25,,,Other,HEREWITH FILING AN ALT-1 TO SUPERSEDE EXPIRED ALT 1 APP #321144392 IN ORDER TO CONVERT EXISTING THREE STORY & CELLAR 12 (TWELVE) UNIT TRANSIENT HOTEL TO A 8 (EIGHT) DWELLING UNIT APARTMENT BUILDING. PER ATTACHED AI1. OBTAIN NEW CERTIFICATE OF OCCUPANCY,False,43 SHEFFIELD AVENUE,bin,3036690010,3036690010,False,3083269,hdb_bin
B00569207,Alteration,5. Completed Construction,3328465,3039930001,3,2219,PITKIN AVENUE,2025.0,2023.0,16.0,16,0.0,16.0,2021-09-29,2023-08-18,2025-08-26,Other,FILING TO AMEND CURRENT C of O TO CORRECT NUMBER OF PROPOSED PARKING SPACES TO EXSITING INDOOR PARKING GARAGE AS INDICATED. THERE WILL BE NO CHANGE IN USE EGRESS OR OCCUPANCY TO EXISTING RESIDENTIAL BUILDING.,True,2219 PITKIN AVENUE,bin,3039930001,3039930001,False,3328465,hdb_bin
B00583382,Alteration,5. Completed Construction,3083924,3037380005,3,271,PENNSYLVANIA AVENUE,2025.0,,0.0,8,8.0,8.0,2021-08-30,,2025-10-16,Other,TWO STORY AND PENTHOUSE VERTICAL ENLARGEMENT TO AN EXISTING TWO STORY BUILDING,True,271 PENNSYLVANIA AVENUE,bin,3037380005,3037380005,False,3083924,hdb_bin
B00584279,New Building,5. Completed Construction,3430036,3039710050,3,731,LIBERTY AVENUE,2023.0,2022.0,0.0,10,10.0,10.0,2021-11-10,2022-05-24,2023-05-25,Other,PROPOSED FOUR (4) STORY WITH PENTHOUSE MIXED-USE BUILDING.,True,731 LIBERTY AVENUE,bin,3039710050,3039710050,False,3430036,hdb_bin
B00594970,New Building,5. Completed Construction,3429466,3039890001,3,365,SHEPHERD AVENUE,2025.0,2022.0,0.0,123,123.0,123.0,2021-11-15,2022-12-21,2025-04-24,Other,An affordable housing project. A (7) story new building with (123) dwelling units in total. A mixed use of (105) UG2 + (10) UG3 + (8) AIRS units,True,365 SHEPHERD AVENUE,bin,3039890001,3039890001,False,3429466,hdb_bin
B00564023,Alteration,3. Permitted for Construction,3336981,3037240029,3,2165,PITKIN AVENUE,,2024.0,16.0,16,0.0,,2021-09-30,2024-06-11,,Other,FILING TO AMEND CURRENT C of O TO CORRECT NUMBER OF PROPOSED PARKING SPACES TO EXSITING PARKING LOT AND TO CREATE A WASTE MANAGEMENT AREA AND FENCING AS INDICATED. THERE WILL BE NO CHANGE IN USE EGRESS OR OCCUPANCY TO EXISTING RESIDENTIAL BUILDING.,False,2165 PITKIN AVENUE,bin,3037240029,3037240029,False,3336981,hdb_bin
B00610324,New Building,5. Completed Construction,3088713,3039880028,3,360,SHEPHERD AVENUE,2025.0,2022.0,0.0,64,64.0,64.0,2021-10-28,2022-06-08,2025-02-13,Other,PROPOSED NEW EIGHT STORY & CELLAR MIXED USE BUILDING.,True,360 SHEPHERD AVENUE,bbl,3039880028,3039880028,False,,no_footprint
B00623780,Alteration,5. Completed Construction,3083864,3037240001,3,255,WYONA STREET,2025.0,,1.0,2,1.0,2.0,2021-11-24,,2025-09-29,2 Family,PARTIAL DEMOLITION HORIZONTAL EXTENSION AND CONVERSION INTO TWO FAMILY. INTERIOR AND EXTERIOR RENOVATION.,True,255 WYONA STREET,bin,3037240001,3037240001,False,3083864,hdb_bin
B00622896,New Building,5. Completed Construction,3427363,3039460045,3,2767,ATLANTIC AVENUE,2024.0,2022.0,0.0,41,41.0,41.0,2021-11-04,2022-03-04,2024-02-22,Other,PROPOSING 8 STORY MIXED USE BUILDING,True,2767 ATLANTIC AVENUE,bin,3039460045,3039460045,False,3427363,hdb_bin
B00601830,New Building,3. Permitted for Construction,3421671,3040150015,3,431,WARWICK STREET,,2022.0,0.0,9,9.0,,2021-10-07,2022-06-09,,Other,PROPOSED (3) THREE STORY & PENTHOUSE MULTIPLE FAMILY DWELLING,False,431 WARWICK STREET,bbl,3040150015,3040150015,False,,no_footprint
B00640786,New Building,5. Completed Construction,3428952,3041437502,3,254,EUCLID AVENUE,2025.0,2022.0,0.0,436,436.0,436.0,2021-12-27,2022-12-29,2025-04-16,Other,CONSTRUCT NEW FOURTEEN (14) STORY MIXED USE BUILDING AS PER PLANS FILED.,True,254 EUCLID AVENUE,bbl,3041437502,3041437502,False,,no_footprint
