bbl,address,bldgclass,landuse,yearbuilt,unitsres,unitstotal,numbldgs,assesstot,latitude,longitude,source
3040200010,2458 PITKIN AVENUE,S4,4,1925,4,5,1,323550.0,40.6737694,-73.8815205,listed lot
3040200012,2466 PITKIN AVENUE,B2,1,2001,2,2,1,57060.0,40.6737994,-73.8813258,listed lot
3040200016,428 SHEPHERD AVENUE,B2,1,1901,2,2,1,54660.0,40.6738842,-73.8810373,listed lot
3040200018,432 SHEPHERD AVENUE,B2,1,1930,2,2,1,53820.0,40.6737799,-73.8810122,listed lot
3040200020,438 SHEPHERD AVENUE,A9,1,1920,1,1,1,60660.0,40.6736701,-73.8809836,listed lot
3040210015,437 SHEPHERD AVENUE,B1,1,2005,2,2,1,56460.0,40.6738122,-73.8804353,listed lot
3040210017,2484 PITKIN AVENUE,S2,4,1925,2,3,1,49560.0,40.6739386,-73.8805361,listed lot
3040230015,2534 PITKIN AVENUE,S2,4,1925,2,3,1,44820.0,40.6742056,-73.8786213,listed lot
3040230017,2540 PITKIN AVENUE,M9,8,2005,2,4,1,231300.0,40.6742246,-73.8784807,listed lot
3040230019,2544 PITKIN AVENUE,G7,10,0,0,0,1,83700.0,40.6742437,-73.87834,listed lot
3040230021,2550 PITKIN AVENUE,S2,4,1925,2,3,1,49320.0,40.6742627,-73.8781922,listed lot
3040230024,204 MONTAUK AVENUE,B2,1,1901,2,2,1,74940.0,40.6741008,-73.8782213,listed lot
3040240015,2558 PITKIN AVENUE,C0,2,1899,3,3,1,64380.0,40.6743336,-73.8777018,listed lot
3040240017,2562 PITKIN AVENUE,S2,4,1925,2,3,1,39960.0,40.6743527,-73.8775575,listed lot
3039500047,2863 ATLANTIC AVENUE,V1,11,0,0,0,1,396900.0,40.6772924,-73.8884868,on a listed block
3039500044,2873 ATLANTIC AVENUE,C7,4,1920,12,13,1,328500.0,40.6773307,-73.888274,on a listed block
3039500001,231 BARBEY STREET,A1,1,1901,1,1,1,56460.0,40.677479,-73.8884468,on a listed block
3039500041,2883 ATLANTIC AVENUE,C7,4,1921,13,15,1,591300.0,40.677388,-73.8879711,on a listed block
3039500043,2875 ATLANTIC AVENUE,K2,5,1920,0,1,1,361800.0,40.6773552,-73.8881406,on a listed block
3039500046,2869 ATLANTIC AVENUE,S5,4,1920,6,7,1,322200.0,40.6773143,-73.8883606,on a listed block
3039500038,186 JEROME STREET,B1,1,2007,2,2,1,55740.0,40.677594,-73.8881185,on a listed block
3039500005,223 BARBEY STREET,A1,1,1901,1,1,1,52980.0,40.6777536,-73.8885185,on a listed block
3039500022,2878 FULTON STREET,S1,4,1920,1,2,1,41640.0,40.678533,-73.8884414,on a listed block
3039500015,199 BARBEY STREET,B1,1,1901,2,2,1,49440.0,40.6782176,-73.8886367,on a listed block
3039500037,184 JEROME STREET,B2,1,1901,2,2,1,67440.0,40.6776599,-73.8881329,on a listed block
3039500024,2884 FULTON STREET,S1,4,1920,1,2,1,38220.0,40.6785631,-73.8883044,on a listed block
3039500004,225 BARBEY STREET,A1,1,1901,1,1,2,50280.0,40.6776795,-73.888497,on a listed block
3039500002,227 BARBEY STREET,B2,1,1901,2,2,1,54000.0,40.6775779,-73.8884719,on a listed block
3039500007,221 BARBEY STREET,B1,1,2023,2,2,1,49080.0,40.677825,-73.8885364,on a listed block
3039500008,209 BARBEY STREET,C0,2,1901,3,3,1,137700.0,40.6779568,-73.8885686,on a listed block
3039500011,205 BARBEY STREET,B2,1,1901,2,2,1,58800.0,40.6780913,-73.8886044,on a listed block
3039500013,201 BARBEY STREET,B1,1,1901,2,2,1,44100.0,40.6781627,-73.8886223,on a listed block
3039500016,197 BARBEY STREET,B1,1,1901,2,2,1,45480.0,40.6782752,-73.8886582,on a listed block
3039500017,2864 FULTON STREET,O5,5,1920,0,3,1,1210050.0,40.6784345,-73.888694,on a listed block
3039500023,2880 FULTON STREET,S1,4,1920,1,2,1,42660.0,40.6785467,-73.8883729,on a listed block
3039500026,152 JEROME STREET,A9,1,1901,1,1,1,42660.0,40.6783463,-73.8883192,on a listed block
3039500027,154 JEROME STREET,A9,1,1901,1,1,1,42780.0,40.6783023,-73.8883012,on a listed block
3039500028,156 JEROME STREET,B3,1,1901,2,2,1,39780.0,40.6782584,-73.8882869,on a listed block
3039500029,158 JEROME STREET,B2,1,1901,2,2,1,73200.0,40.6782035,-73.8882726,on a listed block
3039500031,166 JEROME STREET,B1,1,1901,2,2,1,52260.0,40.6780745,-73.8882403,on a listed block
3039500032,168 JEROME STREET,B1,1,1901,2,2,1,56700.0,40.6780196,-73.888226,on a listed block
3039500033,170 JEROME STREET,B1,1,1901,2,2,1,56700.0,40.6779674,-73.8882117,on a listed block
3039500034,172 JEROME STREET,B1,1,1901,2,2,1,56700.0,40.6779125,-73.8882009,on a listed block
3039500035,178 JEROME STREET,B2,1,1901,2,2,2,47940.0,40.6777972,-73.8881687,on a listed block
3039500039,188 JEROME STREET,C2,2,1921,5,5,1,337950.0,40.6775281,-73.8881006,on a listed block
3039500050,174 JEROME STREET,B1,1,1901,2,2,2,57180.0,40.6778576,-73.8881866,on a listed block
3039500125,150 JEROME STREET,B1,1,1901,2,2,2,66060.0,40.6784012,-73.8883299,on a listed block
3039500030,162 JEROME STREET,B3,1,1901,2,2,1,73140.0,40.6781376,-73.8882582,on a listed block
3039500021,2876 FULTON STREET,C0,2,1910,3,3,1,58740.0,40.6785166,-73.88851,on a listed block
3039500025,2886 FULTON STREET,K4,4,1920,1,2,2,154350.0,40.6785795,-73.8882287,on a listed block
