coundist,borough,month,evictions,evictions_12mo,yoy_diff,yoy_change
1,Manhattan,2017-01,23,,,
1,Manhattan,2017-02,12,,,
1,Manhattan,2017-03,12,,,
1,Manhattan,2017-04,10,,,
1,Manhattan,2017-05,10,,,
1,Manhattan,2017-06,11,,,
1,Manhattan,2017-07,15,,,
1,Manhattan,2017-08,16,,,
1,Manhattan,2017-09,8,,,
1,Manhattan,2017-10,13,,,
1,Manhattan,2017-11,11,,,
1,Manhattan,2017-12,4,145,,
1,Manhattan,2018-01,13,135,-10,-0.4348
1,Manhattan,2018-02,15,138,3,0.25
1,Manhattan,2018-03,11,137,-1,-0.0833
1,Manhattan,2018-04,16,143,6,0.6
1,Manhattan,2018-05,14,147,4,0.4
1,Manhattan,2018-06,12,148,1,0.0909
1,Manhattan,2018-07,8,141,-7,-0.4667
1,Manhattan,2018-08,10,135,-6,-0.375
1,Manhattan,2018-09,10,137,2,0.25
1,Manhattan,2018-10,13,137,0,0.0
1,Manhattan,2018-11,9,135,-2,-0.1818
1,Manhattan,2018-12,7,138,3,0.75
1,Manhattan,2019-01,13,138,0,0.0
1,Manhattan,2019-02,12,135,-3,-0.2
1,Manhattan,2019-03,6,130,-5,-0.4545
1,Manhattan,2019-04,9,123,-7,-0.4375
1,Manhattan,2019-05,12,121,-2,-0.1429
1,Manhattan,2019-06,20,129,8,0.6667
1,Manhattan,2019-07,16,137,8,1.0
1,Manhattan,2019-08,9,136,-1,-0.1
1,Manhattan,2019-09,9,135,-1,-0.1
1,Manhattan,2019-10,9,131,-4,-0.3077
1,Manhattan,2019-11,5,127,-4,-0.4444
1,Manhattan,2019-12,5,125,-2,-0.2857
1,Manhattan,2020-01,11,123,-2,-0.1538
1,Manhattan,2020-02,8,119,-4,-0.3333
1,Manhattan,2020-03,5,118,-1,-0.1667
1,Manhattan,2020-04,0,109,-9,-1.0
1,Manhattan,2020-05,0,97,-12,-1.0
1,Manhattan,2020-06,0,77,-20,-1.0
1,Manhattan,2020-07,0,61,-16,-1.0
1,Manhattan,2020-08,0,52,-9,-1.0
1,Manhattan,2020-09,0,43,-9,-1.0
1,Manhattan,2020-10,0,34,-9,-1.0
1,Manhattan,2020-11,0,29,-5,-1.0
1,Manhattan,2020-12,0,24,-5,-1.0
1,Manhattan,2021-01,0,13,-11,-1.0
1,Manhattan,2021-02,0,5,-8,-1.0
1,Manhattan,2021-03,0,0,-5,-1.0
1,Manhattan,2021-04,0,0,0,
1,Manhattan,2021-05,0,0,0,
1,Manhattan,2021-06,0,0,0,
1,Manhattan,2021-07,4,4,4,
1,Manhattan,2021-08,0,4,0,
1,Manhattan,2021-09,0,4,0,
1,Manhattan,2021-10,0,4,0,
1,Manhattan,2021-11,0,4,0,
1,Manhattan,2021-12,0,4,0,
1,Manhattan,2022-01,1,5,1,
1,Manhattan,2022-02,0,5,0,
1,Manhattan,2022-03,1,6,1,
1,Manhattan,2022-04,1,7,1,
1,Manhattan,2022-05,3,10,3,
1,Manhattan,2022-06,3,13,3,
1,Manhattan,2022-07,2,11,-2,-0.5
1,Manhattan,2022-08,3,14,3,
1,Manhattan,2022-09,7,21,7,
1,Manhattan,2022-10,11,32,11,
1,Manhattan,2022-11,11,43,11,
1,Manhattan,2022-12,6,49,6,
1,Manhattan,2023-01,14,62,13,13.0
1,Manhattan,2023-02,13,75,13,
1,Manhattan,2023-03,5,79,4,4.0
1,Manhattan,2023-04,11,89,10,10.0
1,Manhattan,2023-05,11,97,8,2.6667
1,Manhattan,2023-06,25,119,22,7.3333
1,Manhattan,2023-07,9,126,7,3.5
1,Manhattan,2023-08,21,144,18,6.0
1,Manhattan,2023-09,10,147,3,0.4286
1,Manhattan,2023-10,12,148,1,0.0909
1,Manhattan,2023-11,11,148,0,0.0
1,Manhattan,2023-12,11,153,5,0.8333
1,Manhattan,2024-01,16,155,2,0.1429
1,Manhattan,2024-02,15,157,2,0.1538
1,Manhattan,2024-03,11,163,6,1.2
1,Manhattan,2024-04,15,167,4,0.3636
1,Manhattan,2024-05,12,168,1,0.0909
1,Manhattan,2024-06,7,150,-18,-0.72
1,Manhattan,2024-07,8,149,-1,-0.1111
1,Manhattan,2024-08,7,135,-14,-0.6667
1,Manhattan,2024-09,5,130,-5,-0.5
1,Manhattan,2024-10,17,135,5,0.4167
1,Manhattan,2024-11,18,142,7,0.6364
1,Manhattan,2024-12,17,148,6,0.5455
1,Manhattan,2025-01,15,147,-1,-0.0625
1,Manhattan,2025-02,6,138,-9,-0.6
1,Manhattan,2025-03,13,140,2,0.1818
1,Manhattan,2025-04,11,136,-4,-0.2667
1,Manhattan,2025-05,8,132,-4,-0.3333
1,Manhattan,2025-06,9,134,2,0.2857
1,Manhattan,2025-07,12,138,4,0.5
1,Manhattan,2025-08,16,147,9,1.2857
1,Manhattan,2025-09,14,156,9,1.8
1,Manhattan,2025-10,9,148,-8,-0.4706
1,Manhattan,2025-11,15,145,-3,-0.1667
1,Manhattan,2025-12,16,144,-1,-0.0588
1,Manhattan,2026-01,13,142,-2,-0.1333
1,Manhattan,2026-02,3,139,-3,-0.5
1,Manhattan,2026-03,11,137,-2,-0.1538
1,Manhattan,2026-04,5,131,-6,-0.5455
1,Manhattan,2026-05,9,132,1,0.125
1,Manhattan,2026-06,12,135,3,0.3333
2,Manhattan,2017-01,23,,,
2,Manhattan,2017-02,17,,,
2,Manhattan,2017-03,15,,,
2,Manhattan,2017-04,16,,,
2,Manhattan,2017-05,16,,,
2,Manhattan,2017-06,15,,,
2,Manhattan,2017-07,16,,,
2,Manhattan,2017-08,14,,,
2,Manhattan,2017-09,18,,,
2,Manhattan,2017-10,21,,,
2,Manhattan,2017-11,12,,,
2,Manhattan,2017-12,7,190,,
2,Manhattan,2018-01,16,183,-7,-0.3043
2,Manhattan,2018-02,16,182,-1,-0.0588
2,Manhattan,2018-03,12,179,-3,-0.2
2,Manhattan,2018-04,15,178,-1,-0.0625
2,Manhattan,2018-05,14,176,-2,-0.125
2,Manhattan,2018-06,18,179,3,0.2
2,Manhattan,2018-07,19,182,3,0.1875
2,Manhattan,2018-08,13,181,-1,-0.0714
2,Manhattan,2018-09,12,175,-6,-0.3333
2,Manhattan,2018-10,12,166,-9,-0.4286
2,Manhattan,2018-11,10,164,-2,-0.1667
2,Manhattan,2018-12,11,168,4,0.5714
2,Manhattan,2019-01,11,163,-5,-0.3125
2,Manhattan,2019-02,18,165,2,0.125
2,Manhattan,2019-03,16,169,4,0.3333
2,Manhattan,2019-04,18,172,3,0.2
2,Manhattan,2019-05,11,169,-3,-0.2143
2,Manhattan,2019-06,5,156,-13,-0.7222
2,Manhattan,2019-07,16,153,-3,-0.1579
2,Manhattan,2019-08,11,151,-2,-0.1538
2,Manhattan,2019-09,9,148,-3,-0.25
2,Manhattan,2019-10,10,146,-2,-0.1667
2,Manhattan,2019-11,4,140,-6,-0.6
2,Manhattan,2019-12,9,138,-2,-0.1818
2,Manhattan,2020-01,10,137,-1,-0.0909
2,Manhattan,2020-02,10,129,-8,-0.4444
2,Manhattan,2020-03,3,116,-13,-0.8125
2,Manhattan,2020-04,0,98,-18,-1.0
2,Manhattan,2020-05,0,87,-11,-1.0
2,Manhattan,2020-06,0,82,-5,-1.0
2,Manhattan,2020-07,0,66,-16,-1.0
2,Manhattan,2020-08,0,55,-11,-1.0
2,Manhattan,2020-09,0,46,-9,-1.0
2,Manhattan,2020-10,0,36,-10,-1.0
2,Manhattan,2020-11,0,32,-4,-1.0
2,Manhattan,2020-12,0,23,-9,-1.0
2,Manhattan,2021-01,0,13,-10,-1.0
2,Manhattan,2021-02,0,3,-10,-1.0
2,Manhattan,2021-03,0,0,-3,-1.0
2,Manhattan,2021-04,0,0,0,
2,Manhattan,2021-05,0,0,0,
2,Manhattan,2021-06,0,0,0,
2,Manhattan,2021-07,1,1,1,
2,Manhattan,2021-08,0,1,0,
2,Manhattan,2021-09,0,1,0,
2,Manhattan,2021-10,0,1,0,
2,Manhattan,2021-11,1,2,1,
2,Manhattan,2021-12,0,2,0,
2,Manhattan,2022-01,0,2,0,
2,Manhattan,2022-02,2,4,2,
2,Manhattan,2022-03,1,5,1,
2,Manhattan,2022-04,0,5,0,
2,Manhattan,2022-05,3,8,3,
2,Manhattan,2022-06,5,13,5,
2,Manhattan,2022-07,6,18,5,5.0
2,Manhattan,2022-08,4,22,4,
2,Manhattan,2022-09,7,29,7,
2,Manhattan,2022-10,7,36,7,
2,Manhattan,2022-11,8,43,7,7.0
2,Manhattan,2022-12,5,48,5,
2,Manhattan,2023-01,7,55,7,
2,Manhattan,2023-02,8,61,6,3.0
2,Manhattan,2023-03,7,67,6,6.0
2,Manhattan,2023-04,6,73,6,
2,Manhattan,2023-05,10,80,7,2.3333
2,Manhattan,2023-06,19,94,14,2.8
2,Manhattan,2023-07,12,100,6,1.0
2,Manhattan,2023-08,13,109,9,2.25
2,Manhattan,2023-09,10,112,3,0.4286
2,Manhattan,2023-10,12,117,5,0.7143
2,Manhattan,2023-11,12,121,4,0.5
2,Manhattan,2023-12,5,121,0,0.0
2,Manhattan,2024-01,14,128,7,1.0
2,Manhattan,2024-02,9,129,1,0.125
2,Manhattan,2024-03,9,131,2,0.2857
2,Manhattan,2024-04,5,130,-1,-0.1667
2,Manhattan,2024-05,8,128,-2,-0.2
2,Manhattan,2024-06,3,112,-16,-0.8421
2,Manhattan,2024-07,9,109,-3,-0.25
2,Manhattan,2024-08,7,103,-6,-0.4615
2,Manhattan,2024-09,7,100,-3,-0.3
2,Manhattan,2024-10,16,104,4,0.3333
2,Manhattan,2024-11,7,99,-5,-0.4167
2,Manhattan,2024-12,8,102,3,0.6
2,Manhattan,2025-01,20,108,6,0.4286
2,Manhattan,2025-02,13,112,4,0.4444
2,Manhattan,2025-03,7,110,-2,-0.2222
2,Manhattan,2025-04,10,115,5,1.0
2,Manhattan,2025-05,10,117,2,0.25
2,Manhattan,2025-06,7,121,4,1.3333
2,Manhattan,2025-07,8,120,-1,-0.1111
2,Manhattan,2025-08,9,122,2,0.2857
2,Manhattan,2025-09,12,127,5,0.7143
2,Manhattan,2025-10,13,124,-3,-0.1875
2,Manhattan,2025-11,5,122,-2,-0.2857
2,Manhattan,2025-12,11,125,3,0.375
2,Manhattan,2026-01,8,113,-12,-0.6
2,Manhattan,2026-02,7,107,-6,-0.4615
2,Manhattan,2026-03,12,112,5,0.7143
2,Manhattan,2026-04,11,113,1,0.1
2,Manhattan,2026-05,8,111,-2,-0.2
2,Manhattan,2026-06,11,115,4,0.5714
3,Manhattan,2017-01,23,,,
3,Manhattan,2017-02,26,,,
3,Manhattan,2017-03,30,,,
3,Manhattan,2017-04,22,,,
3,Manhattan,2017-05,29,,,
3,Manhattan,2017-06,20,,,
3,Manhattan,2017-07,26,,,
3,Manhattan,2017-08,21,,,
3,Manhattan,2017-09,30,,,
3,Manhattan,2017-10,37,,,
3,Manhattan,2017-11,13,,,
3,Manhattan,2017-12,13,290,,
3,Manhattan,2018-01,16,283,-7,-0.3043
3,Manhattan,2018-02,17,274,-9,-0.3462
3,Manhattan,2018-03,28,272,-2,-0.0667
3,Manhattan,2018-04,29,279,7,0.3182
3,Manhattan,2018-05,27,277,-2,-0.069
3,Manhattan,2018-06,16,273,-4,-0.2
3,Manhattan,2018-07,20,267,-6,-0.2308
3,Manhattan,2018-08,33,279,12,0.5714
3,Manhattan,2018-09,19,268,-11,-0.3667
3,Manhattan,2018-10,22,253,-15,-0.4054
3,Manhattan,2018-11,22,262,9,0.6923
3,Manhattan,2018-12,18,267,5,0.3846
3,Manhattan,2019-01,36,287,20,1.25
3,Manhattan,2019-02,27,297,10,0.5882
3,Manhattan,2019-03,23,292,-5,-0.1786
3,Manhattan,2019-04,34,297,5,0.1724
3,Manhattan,2019-05,21,291,-6,-0.2222
3,Manhattan,2019-06,25,300,9,0.5625
3,Manhattan,2019-07,19,299,-1,-0.05
3,Manhattan,2019-08,16,282,-17,-0.5152
3,Manhattan,2019-09,16,279,-3,-0.1579
3,Manhattan,2019-10,15,272,-7,-0.3182
3,Manhattan,2019-11,6,256,-16,-0.7273
3,Manhattan,2019-12,15,253,-3,-0.1667
3,Manhattan,2020-01,22,239,-14,-0.3889
3,Manhattan,2020-02,18,230,-9,-0.3333
3,Manhattan,2020-03,11,218,-12,-0.5217
3,Manhattan,2020-04,0,184,-34,-1.0
3,Manhattan,2020-05,0,163,-21,-1.0
3,Manhattan,2020-06,0,138,-25,-1.0
3,Manhattan,2020-07,0,119,-19,-1.0
3,Manhattan,2020-08,0,103,-16,-1.0
3,Manhattan,2020-09,0,87,-16,-1.0
3,Manhattan,2020-10,0,72,-15,-1.0
3,Manhattan,2020-11,0,66,-6,-1.0
3,Manhattan,2020-12,0,51,-15,-1.0
3,Manhattan,2021-01,0,29,-22,-1.0
3,Manhattan,2021-02,0,11,-18,-1.0
3,Manhattan,2021-03,0,0,-11,-1.0
3,Manhattan,2021-04,0,0,0,
3,Manhattan,2021-05,1,1,1,
3,Manhattan,2021-06,0,1,0,
3,Manhattan,2021-07,2,3,2,
3,Manhattan,2021-08,1,4,1,
3,Manhattan,2021-09,0,4,0,
3,Manhattan,2021-10,0,4,0,
3,Manhattan,2021-11,0,4,0,
3,Manhattan,2021-12,0,4,0,
3,Manhattan,2022-01,1,5,1,
3,Manhattan,2022-02,7,12,7,
3,Manhattan,2022-03,4,16,4,
3,Manhattan,2022-04,5,21,5,
3,Manhattan,2022-05,4,24,3,3.0
3,Manhattan,2022-06,6,30,6,
3,Manhattan,2022-07,8,36,6,3.0
3,Manhattan,2022-08,14,49,13,13.0
3,Manhattan,2022-09,14,63,14,
3,Manhattan,2022-10,19,82,19,
3,Manhattan,2022-11,11,93,11,
3,Manhattan,2022-12,11,104,11,
3,Manhattan,2023-01,24,127,23,23.0
3,Manhattan,2023-02,11,131,4,0.5714
3,Manhattan,2023-03,16,143,12,3.0
3,Manhattan,2023-04,8,146,3,0.6
3,Manhattan,2023-05,13,155,9,2.25
3,Manhattan,2023-06,24,173,18,3.0
3,Manhattan,2023-07,20,185,12,1.5
3,Manhattan,2023-08,31,202,17,1.2143
3,Manhattan,2023-09,25,213,11,0.7857
3,Manhattan,2023-10,28,222,9,0.4737
3,Manhattan,2023-11,25,236,14,1.2727
3,Manhattan,2023-12,14,239,3,0.2727
3,Manhattan,2024-01,26,241,2,0.0833
3,Manhattan,2024-02,26,256,15,1.3636
3,Manhattan,2024-03,11,251,-5,-0.3125
3,Manhattan,2024-04,17,260,9,1.125
3,Manhattan,2024-05,15,262,2,0.1538
3,Manhattan,2024-06,17,255,-7,-0.2917
3,Manhattan,2024-07,37,272,17,0.85
3,Manhattan,2024-08,24,265,-7,-0.2258
3,Manhattan,2024-09,38,278,13,0.52
3,Manhattan,2024-10,46,296,18,0.6429
3,Manhattan,2024-11,19,290,-6,-0.24
3,Manhattan,2024-12,24,300,10,0.7143
3,Manhattan,2025-01,30,304,4,0.1538
3,Manhattan,2025-02,22,300,-4,-0.1538
3,Manhattan,2025-03,16,305,5,0.4545
3,Manhattan,2025-04,41,329,24,1.4118
3,Manhattan,2025-05,22,336,7,0.4667
3,Manhattan,2025-06,19,338,2,0.1176
3,Manhattan,2025-07,29,330,-8,-0.2162
3,Manhattan,2025-08,25,331,1,0.0417
3,Manhattan,2025-09,34,327,-4,-0.1053
3,Manhattan,2025-10,31,312,-15,-0.3261
3,Manhattan,2025-11,22,315,3,0.1579
3,Manhattan,2025-12,22,313,-2,-0.0833
3,Manhattan,2026-01,19,302,-11,-0.3667
3,Manhattan,2026-02,24,304,2,0.0909
3,Manhattan,2026-03,23,311,7,0.4375
3,Manhattan,2026-04,18,288,-23,-0.561
3,Manhattan,2026-05,22,288,0,0.0
3,Manhattan,2026-06,11,280,-8,-0.4211
4,Manhattan,2017-01,10,,,
4,Manhattan,2017-02,12,,,
4,Manhattan,2017-03,12,,,
4,Manhattan,2017-04,13,,,
4,Manhattan,2017-05,16,,,
4,Manhattan,2017-06,17,,,
4,Manhattan,2017-07,12,,,
4,Manhattan,2017-08,21,,,
4,Manhattan,2017-09,11,,,
4,Manhattan,2017-10,9,,,
4,Manhattan,2017-11,6,,,
4,Manhattan,2017-12,6,145,,
4,Manhattan,2018-01,14,149,4,0.4
4,Manhattan,2018-02,13,150,1,0.0833
4,Manhattan,2018-03,12,150,0,0.0
4,Manhattan,2018-04,10,147,-3,-0.2308
4,Manhattan,2018-05,14,145,-2,-0.125
4,Manhattan,2018-06,13,141,-4,-0.2353
4,Manhattan,2018-07,10,139,-2,-0.1667
4,Manhattan,2018-08,12,130,-9,-0.4286
4,Manhattan,2018-09,12,131,1,0.0909
4,Manhattan,2018-10,17,139,8,0.8889
4,Manhattan,2018-11,16,149,10,1.6667
4,Manhattan,2018-12,9,152,3,0.5
4,Manhattan,2019-01,12,150,-2,-0.1429
4,Manhattan,2019-02,8,145,-5,-0.3846
4,Manhattan,2019-03,7,140,-5,-0.4167
4,Manhattan,2019-04,10,140,0,0.0
4,Manhattan,2019-05,10,136,-4,-0.2857
4,Manhattan,2019-06,9,132,-4,-0.3077
4,Manhattan,2019-07,5,127,-5,-0.5
4,Manhattan,2019-08,9,124,-3,-0.25
4,Manhattan,2019-09,6,118,-6,-0.5
4,Manhattan,2019-10,11,112,-6,-0.3529
4,Manhattan,2019-11,6,102,-10,-0.625
4,Manhattan,2019-12,3,96,-6,-0.6667
4,Manhattan,2020-01,11,95,-1,-0.0833
4,Manhattan,2020-02,8,95,0,0.0
4,Manhattan,2020-03,6,94,-1,-0.1429
4,Manhattan,2020-04,0,84,-10,-1.0
4,Manhattan,2020-05,0,74,-10,-1.0
4,Manhattan,2020-06,0,65,-9,-1.0
4,Manhattan,2020-07,0,60,-5,-1.0
4,Manhattan,2020-08,0,51,-9,-1.0
4,Manhattan,2020-09,0,45,-6,-1.0
4,Manhattan,2020-10,0,34,-11,-1.0
4,Manhattan,2020-11,0,28,-6,-1.0
4,Manhattan,2020-12,0,25,-3,-1.0
4,Manhattan,2021-01,0,14,-11,-1.0
4,Manhattan,2021-02,0,6,-8,-1.0
4,Manhattan,2021-03,0,0,-6,-1.0
4,Manhattan,2021-04,0,0,0,
4,Manhattan,2021-05,0,0,0,
4,Manhattan,2021-06,0,0,0,
4,Manhattan,2021-07,0,0,0,
4,Manhattan,2021-08,1,1,1,
4,Manhattan,2021-09,0,1,0,
4,Manhattan,2021-10,1,2,1,
4,Manhattan,2021-11,0,2,0,
4,Manhattan,2021-12,0,2,0,
4,Manhattan,2022-01,0,2,0,
4,Manhattan,2022-02,0,2,0,
4,Manhattan,2022-03,1,3,1,
4,Manhattan,2022-04,1,4,1,
4,Manhattan,2022-05,1,5,1,
4,Manhattan,2022-06,8,13,8,
4,Manhattan,2022-07,4,17,4,
4,Manhattan,2022-08,4,20,3,3.0
4,Manhattan,2022-09,2,22,2,
4,Manhattan,2022-10,4,25,3,3.0
4,Manhattan,2022-11,2,27,2,
4,Manhattan,2022-12,1,28,1,
4,Manhattan,2023-01,10,38,10,
4,Manhattan,2023-02,14,52,14,
4,Manhattan,2023-03,11,62,10,10.0
4,Manhattan,2023-04,9,70,8,8.0
4,Manhattan,2023-05,6,75,5,5.0
4,Manhattan,2023-06,12,79,4,0.5
4,Manhattan,2023-07,20,95,16,4.0
4,Manhattan,2023-08,16,107,12,3.0
4,Manhattan,2023-09,9,114,7,3.5
4,Manhattan,2023-10,7,117,3,0.75
4,Manhattan,2023-11,10,125,8,4.0
4,Manhattan,2023-12,5,129,4,4.0
4,Manhattan,2024-01,15,134,5,0.5
4,Manhattan,2024-02,11,131,-3,-0.2143
4,Manhattan,2024-03,12,132,1,0.0909
4,Manhattan,2024-04,11,134,2,0.2222
4,Manhattan,2024-05,10,138,4,0.6667
4,Manhattan,2024-06,8,134,-4,-0.3333
4,Manhattan,2024-07,7,121,-13,-0.65
4,Manhattan,2024-08,7,112,-9,-0.5625
4,Manhattan,2024-09,4,107,-5,-0.5556
4,Manhattan,2024-10,9,109,2,0.2857
4,Manhattan,2024-11,8,107,-2,-0.2
4,Manhattan,2024-12,11,113,6,1.2
4,Manhattan,2025-01,10,108,-5,-0.3333
4,Manhattan,2025-02,9,106,-2,-0.1818
4,Manhattan,2025-03,5,99,-7,-0.5833
4,Manhattan,2025-04,8,96,-3,-0.2727
4,Manhattan,2025-05,9,95,-1,-0.1
4,Manhattan,2025-06,15,102,7,0.875
4,Manhattan,2025-07,12,107,5,0.7143
4,Manhattan,2025-08,13,113,6,0.8571
4,Manhattan,2025-09,12,121,8,2.0
4,Manhattan,2025-10,11,123,2,0.2222
4,Manhattan,2025-11,5,120,-3,-0.375
4,Manhattan,2025-12,9,118,-2,-0.1818
4,Manhattan,2026-01,14,122,4,0.4
4,Manhattan,2026-02,4,117,-5,-0.5556
4,Manhattan,2026-03,12,124,7,1.4
4,Manhattan,2026-04,8,124,0,0.0
4,Manhattan,2026-05,11,126,2,0.2222
4,Manhattan,2026-06,6,117,-9,-0.6
5,Manhattan,2017-01,20,,,
5,Manhattan,2017-02,10,,,
5,Manhattan,2017-03,9,,,
5,Manhattan,2017-04,12,,,
5,Manhattan,2017-05,13,,,
5,Manhattan,2017-06,11,,,
5,Manhattan,2017-07,13,,,
5,Manhattan,2017-08,20,,,
5,Manhattan,2017-09,13,,,
5,Manhattan,2017-10,29,,,
5,Manhattan,2017-11,10,,,
5,Manhattan,2017-12,3,163,,
5,Manhattan,2018-01,13,156,-7,-0.35
5,Manhattan,2018-02,13,159,3,0.3
5,Manhattan,2018-03,10,160,1,0.1111
5,Manhattan,2018-04,13,161,1,0.0833
5,Manhattan,2018-05,15,163,2,0.1538
5,Manhattan,2018-06,10,162,-1,-0.0909
5,Manhattan,2018-07,19,168,6,0.4615
5,Manhattan,2018-08,22,170,2,0.1
5,Manhattan,2018-09,9,166,-4,-0.3077
5,Manhattan,2018-10,9,146,-20,-0.6897
5,Manhattan,2018-11,8,144,-2,-0.2
5,Manhattan,2018-12,4,145,1,0.3333
