bbl,is_block,n_hdb_jobs,in_housingdb,in_housingdb_direct,hdb_match_via,has_historic_bbl,historic_bbl,reached_only_via_historic
2024890005,False,0,False,False,,False,,False
2024890006,False,0,False,False,,False,,False
2024890008,False,0,False,False,,False,,False
2024890011,False,0,False,False,,False,,False
2024890014,False,0,False,False,,False,,False
2024890025,False,0,False,False,,False,,False
2024890077,False,0,False,False,,False,,False
2025060044,False,1,True,True,bin,False,,False
2025060054,False,1,True,True,bin,False,,False
2025060062,False,0,False,False,,False,,False
2028440001,False,0,False,False,,False,,False
2028440005,False,0,False,False,,False,,False
2028440009,False,0,False,False,,False,,False
2028440012,False,0,False,False,,False,,False
2028460001,False,0,False,False,,False,,False
2028460004,False,0,False,False,,False,,False
2028460006,False,0,False,False,,False,,False
2028460014,False,0,False,False,,False,,False
2028460021,False,0,False,False,,False,,False
2028460027,False,0,False,False,,False,,False
2028460032,False,0,False,False,,False,,False
2028480012,False,0,False,False,,False,,False
2028480016,False,0,False,False,,False,,False
2028490001,False,0,False,False,,False,,False
2028490005,False,0,False,False,,False,,False
2028490009,False,0,False,False,,False,,False
2028490013,False,0,False,False,,False,,False
2028530001,False,0,False,False,,False,,False
2028530006,False,0,False,False,,False,,False
2028530009,False,0,False,False,,False,,False
2028530011,False,0,False,False,,False,,False
2028530012,False,1,True,True,bbl,False,,False
2028530015,False,0,False,False,,False,,False
2028530017,False,0,False,False,,False,,False
2028530022,False,0,False,False,,False,,False
2028550001,False,0,False,False,,False,,False
2028550008,False,0,False,False,,False,,False
2028550012,False,0,False,False,,False,,False
2028550015,False,0,False,False,,False,,False
2028550016,False,0,False,False,,False,,False
2028550020,False,0,False,False,,False,,False
2028550025,False,0,False,False,,False,,False
2028550027,False,0,False,False,,False,,False
2028550028,False,1,True,True,bin,False,,False
2028550042,False,0,False,False,,False,,False
2028550045,False,0,False,False,,False,,False
2028550051,False,1,True,True,bin,False,,False
2028550053,False,0,False,False,,False,,False
2028550065,False,0,False,False,,False,,False
2028560001,False,1,True,True,bbl,False,,False
2028560011,False,1,True,True,bin,False,,False
2028560019,False,0,False,False,,False,,False
2028560020,False,0,False,False,,False,,False
2028560023,False,3,True,True,bbl,False,,False
2028560024,False,0,False,False,,False,,False
2028560029,False,0,False,False,,False,,False
2028560045,False,0,False,False,,False,,False
2028560049,False,0,False,False,,False,,False
2028560051,False,0,False,False,,False,,False
2028560053,False,1,True,False,bin,True,2028567501,True
2028560141,False,0,False,False,,False,,False
2028570001,False,0,False,False,,False,,False
2028570006,False,1,True,True,bbl,False,,False
2028570021,False,0,False,False,,False,,False
2028570022,False,0,False,False,,False,,False
2028570023,False,0,False,False,,False,,False
2028570024,False,0,False,False,,False,,False
2028570028,False,0,False,False,,False,,False
2028570043,False,0,False,False,,False,,False
2028570064,False,0,False,False,,False,,False
2028570071,False,0,False,False,,False,,False
2028570077,False,0,False,False,,False,,False
2028570081,False,0,False,False,,False,,False
2028570090,False,0,False,False,,False,,False
2028570094,False,0,False,False,,False,,False
2028580001,False,0,False,False,,False,,False
2028580009,False,0,False,False,,False,,False
2028580015,False,0,False,False,,False,,False
2028580019,False,0,False,False,,False,,False
2028580023,False,0,False,False,,False,,False
2028580028,False,0,False,False,,False,,False
2028590001,False,0,False,False,,False,,False
2028590004,False,0,False,False,,False,,False
2028590005,False,0,False,False,,False,,False
2028590008,False,0,False,False,,False,,False
2028590010,False,0,False,False,,False,,False
2028590017,False,0,False,False,,False,,False
2028590018,False,0,False,False,,False,,False
2028590026,False,0,False,False,,False,,False
2028590030,False,0,False,False,,False,,False
2028590033,False,0,False,False,,False,,False
2028590034,False,0,False,False,,False,,False
2028590035,False,0,False,False,,False,,False
2028590038,False,0,False,False,,False,,False
2028590041,False,0,False,False,,False,,False
2028590044,False,0,False,False,,False,,False
2028590046,False,0,False,False,,False,,False
2028590050,False,0,False,False,,False,,False
2028590051,False,1,True,True,bin,False,,False
2028590077,False,0,False,False,,False,,False
2028590089,False,0,False,False,,False,,False
2028590092,False,0,False,False,,False,,False
2028590097,False,0,False,False,,False,,False
2028600034,False,0,False,False,,False,,False
