bin,base_bbl,address,construction_year,yearbuilt,bldgclass,landuse,is_apartment,res_units,unitstotal,numbldgs,assesstot,dob_is_apartment,dob_dwelling_units,dob_first_filed,dob_nb_filed,dob_nb_signoff,n_dob_filings,has_dob_record,the_geom_wkt
2003006,2024890005,1220 JEROME AVENUE,1931.0,1931.0,M1,8,False,0.0,1.0,1.0,180900.0,False,1.0,2020-12-15,,,2.0,True,"MULTIPOLYGON (((-73.921485 40.8363, -73.921521 40.836239, -73.921539 40.836246, -73.921562 40.836253, -73.921622 40.836274, -73.921683 40.836294, -73.921743 40.836315, -73.921779 40.836327, -73.921706 40.836375, -73.921685 40.836368, -73.921625 40.836347, -73.921565 40.836327, -73.921505 40.836307, -73.921485 40.8363)))"
2003007,2024890006,1222 JEROME AVENUE,1934.0,1934.0,K2,5,False,0.0,2.0,1.0,340200.0,False,,2014-06-10,,,1.0,True,"MULTIPOLYGON (((-73.921134 40.836255, -73.92117 40.836193, -73.921202 40.836204, -73.921226 40.836212, -73.921251 40.836221, -73.921268 40.836227, -73.921435 40.836283, -73.921485 40.8363, -73.921505 40.836307, -73.921565 40.836327, -73.921625 40.836347, -73.921685 40.836368, -73.921706 40.836375, -73.921632 40.836424, -73.921626 40.836422, -73.921565 40.836401, -73.921483 40.836373, -73.921419 40.836352, -73.921224 40.836286, -73.921198 40.836277, -73.921174 40.836269, -73.921153 40.836262, -73.921134 40.836255)))"
2003008,2024890008,1230 JEROME AVENUE,1931.0,1931.0,K1,5,False,0.0,2.0,1.0,645300.0,False,,2000-01-24,,,12.0,True,"MULTIPOLYGON (((-73.921391 40.836569, -73.921372 40.836562, -73.921302 40.836539, -73.921283 40.836532, -73.921201 40.836504, -73.921158 40.83649, -73.921134 40.836482, -73.921113 40.836475, -73.921092 40.836468, -73.921076 40.836462, -73.92106 40.836457, -73.921045 40.836452, -73.921029 40.836446, -73.921023 40.836444, -73.921134 40.836255, -73.921153 40.836262, -73.921174 40.836269, -73.921198 40.836277, -73.921224 40.836286, -73.921419 40.836352, -73.921483 40.836373, -73.921565 40.836401, -73.921626 40.836422, -73.921632 40.836424, -73.921595 40.836449, -73.921572 40.836464, -73.921405 40.836574, -73.921391 40.836569)))"
2092378,2024890011,1234 JEROME AVENUE,1931.0,1931.0,G2,7,False,0.0,1.0,1.0,155250.0,False,,2001-08-31,,,2.0,True,"MULTIPOLYGON (((-73.921158 40.83649, -73.921201 40.836504, -73.921283 40.836532, -73.921302 40.836539, -73.921372 40.836562, -73.921391 40.836569, -73.921324 40.836618, -73.921179 40.836723, -73.921069 40.836661, -73.921064 40.836658, -73.92107 40.836651, -73.921082 40.83664, -73.921119 40.836601, -73.921125 40.836604, -73.921133 40.836609, -73.921157 40.836586, -73.921174 40.83657, -73.921126 40.836544, -73.92114 40.83652, -73.921158 40.83649)))"
2003009,2024890014,1240 JEROME AVENUE,1931.0,1931.0,G2,7,False,0.0,1.0,1.0,186750.0,False,0.0,2012-07-23,,,1.0,True,"MULTIPOLYGON (((-73.920788 40.83686, -73.920902 40.836669, -73.920919 40.836641, -73.920921 40.836642, -73.920941 40.836649, -73.920962 40.836656, -73.920982 40.836663, -73.921016 40.836675, -73.921017 40.836675, -73.921015 40.836678, -73.920976 40.836745, -73.920989 40.836749, -73.921041 40.836767, -73.92109 40.836784, -73.92105 40.836812, -73.921027 40.836828, -73.921006 40.836829, -73.920967 40.836814, -73.920904 40.836878, -73.920802 40.836981, -73.920779 40.836972, -73.920738 40.836954, -73.920733 40.836952, -73.920788 40.83686)))"
2003010,2024890025,1223 RIVER AVENUE,1905.0,1905.0,B1,1,False,2.0,2.0,1.0,56460.0,False,2.0,2019-09-25,,,1.0,True,"MULTIPOLYGON (((-73.921268 40.836227, -73.921251 40.836221, -73.921226 40.836212, -73.921202 40.836204, -73.92117 40.836193, -73.921207 40.836131, -73.921254 40.836147, -73.921279 40.836156, -73.921305 40.836165, -73.921379 40.836189, -73.921391 40.836193, -73.921363 40.836241, -73.921277 40.836212, -73.921268 40.836227)))"
2003017,2024890077,1264 RIVER AVENUE,1990.0,1990.0,Y2,8,False,0.0,1.0,1.0,11103750.0,False,,2014-12-02,,,1.0,True,"MULTIPOLYGON (((-73.919385 40.837264, -73.919397 40.837165, -73.919431 40.837107, -73.91954 40.836921, -73.919632 40.836952, -73.91972 40.836982, -73.919808 40.837012, -73.91989 40.83704, -73.919969 40.837066, -73.92005 40.837094, -73.920147 40.837127, -73.920238 40.837158, -73.920259 40.837165, -73.920125 40.837394, -73.919693 40.837247, -73.91952 40.837188, -73.919418 40.837362, -73.919597 40.837423, -73.919938 40.837539, -73.919664 40.837719, -73.919638 40.83771, -73.919552 40.837681, -73.91947 40.837653, -73.919417 40.837635, -73.919352 40.837613, -73.919346 40.837611, -73.919373 40.837374, -73.919385 40.837264)))"
2003082,2025060044,1263 EDWARD L GRANT HWY,2002.0,2002.0,H4,5,False,0.0,1.0,1.0,5148450.0,True,80.0,2001-07-23,2001-07-23,2004-09-03 00:00:00,39.0,True,"MULTIPOLYGON (((-73.922534 40.837118, -73.922756 40.837123, -73.922822 40.837125, -73.922863 40.837126, -73.922863 40.837126, -73.922863 40.837138, -73.922859 40.837247, -73.922855 40.837354, -73.922852 40.837423, -73.922849 40.837492, -73.922847 40.837554, -73.922846 40.83757, -73.922846 40.837579, -73.922841 40.837578, -73.922827 40.837578, -73.922813 40.837578, -73.922798 40.837577, -73.922784 40.837577, -73.92277 40.837577, -73.92275 40.837576, -73.922567 40.837572, -73.922516 40.837571, -73.922522 40.837433, -73.922534 40.837118)))"
2129747,2025060054,1249 EDWARD L GRANT HWY,2023.0,2022.0,D1,3,True,110.0,110.0,1.0,6398550.0,True,110.0,2020-12-07,2020-12-07,2025-03-10 00:00:00,3.0,True,"MULTIPOLYGON (((-73.922682 40.836841, -73.922878 40.836905, -73.922869 40.837126, -73.922863 40.837126, -73.922534 40.837118, -73.922545 40.836825, -73.922556 40.836826, -73.922558 40.836755, -73.922581 40.836755, -73.922682 40.836841)))"
2003083,2025060062,1203 JEROME AVENUE,1925.0,1925.0,K4,4,False,0.0,14.0,1.0,2573550.0,True,77.0,2011-01-20,,,40.0,True,"MULTIPOLYGON (((-73.922639 40.836123, -73.922845 40.835988, -73.92291 40.836046, -73.922964 40.836094, -73.922951 40.836102, -73.922887 40.836144, -73.922885 40.836174, -73.922867 40.836431, -73.922866 40.836448, -73.922842 40.836893, -73.922683 40.836841, -73.922549 40.836727, -73.922561 40.83644, -73.922572 40.836216, -73.922572 40.836214, -73.922573 40.83621, -73.922578 40.836201, -73.922584 40.836189, -73.922592 40.836177, -73.9226 40.836166, -73.922609 40.836155, -73.922618 40.836144, -73.922628 40.836133, -73.922639 40.836123)))"
