bbl,in_current_pluto,pluto_current_bbl,successor_source,bbl_sunsetted
2024890035,False,2024890035,,True
2025060044,True,2025060044,,False
2025060054,True,2025060054,,False
2025060081,True,2025060081,,False
2025060082,True,2025060082,,False
2025060100,True,2025060100,,False
2025060111,True,2025060111,,False
2025060125,True,2025060125,,False
2025060148,True,2025060148,,False
2028460037,True,2028460037,,False
2028480024,True,2028480024,,False
2028480050,True,2028480050,,False
2028480054,True,2028480054,,False
2028490055,True,2028490055,,False
2028490063,True,2028490063,,False
2028490083,True,2028490083,,False
2028490085,True,2028490085,,False
2028530012,True,2028530012,,False
2028550028,True,2028550028,,False
2028550051,True,2028550051,,False
2028560001,True,2028560001,,False
2028560011,True,2028560011,,False
2028560023,True,2028560023,,False
2028567501,True,2028567501,,False
2028570006,True,2028570006,,False
2028590051,True,2028590051,,False
2028620003,True,2028620003,,False
2028620006,True,2028620006,,False
2028620008,True,2028620008,,False
2028620090,True,2028620090,,False
2028650122,True,2028650122,,False
2028650126,True,2028650126,,False
2028650134,True,2028650134,,False
2028650160,True,2028650160,,False
2028650177,True,2028650177,,False
2028650179,True,2028650179,,False
2028720007,True,2028720007,,False
2028720028,True,2028720028,,False
2028720033,True,2028720033,,False
2028720070,True,2028720070,,False
2028720071,True,2028720071,,False
2028720120,True,2028720120,,False
2028720148,False,2028727501,pluto_appbbl,True
2028720222,True,2028720222,,False
2028720230,True,2028720230,,False
2028720261,True,2028720261,,False
2028720262,True,2028720262,,False
2028720273,True,2028720273,,False
2028720274,True,2028720274,,False
2028720275,True,2028720275,,False
2028720300,True,2028720300,,False
2028720301,True,2028720301,,False
2028720302,True,2028720302,,False
2031790060,True,2031790060,,False
2031850007,True,2031850007,,False
2031860076,True,2031860076,,False
2031860078,True,2031860078,,False
2031870007,True,2031870007,,False
2031870036,True,2031870036,,False
2031950021,True,2031950021,,False
2031950032,True,2031950032,,False
2031950051,True,2031950051,,False
2031950074,True,2031950074,,False
2031950174,True,2031950174,,False
2031960029,True,2031960029,,False
2031960052,True,2031960052,,False
2031960066,True,2031960066,,False
2031960069,True,2031960069,,False
2031960079,True,2031960079,,False
2031980012,True,2031980012,,False
2031980014,True,2031980014,,False
2031980015,True,2031980015,,False
2031980017,True,2031980017,,False
2031980045,True,2031980045,,False
2031980141,True,2031980141,,False
