bin,bbl,pluto_current_bbl,n_bbls,scope_via,address,pluto_address,lat,lon,geom_source,pluto_yearbuilt,oti_construction_year,hdb_nb_complt_year,hdb_first_complt_year,hdb_last_complt_year,demo_complt_year,demolished_post_rezone,rebuilt_after_demo,n_demolition,n_jobs,n_completed,job_types,n_new_building,hdb_status,net_units,units_co,pluto_unitsres,pluto_bldgclass,pluto_numbldgs,bin_is_sentinel,base_bbl,mappluto_bbl,last_status_type,feature_code,height_roof,ground_elevation,shape_area,doitt_id,the_geom_wkt
2003082,2025060044,2025060044,1,bbl_block,1263 EDWARD L GRANT HIGHWAY,1263 EDWARD L GRANT HWY,40.837348476629664,-73.92268985175949,oti_polygon,2002.0,2002.0,,2022.0,2022.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,0.0,79.0,0.0,H4,1.0,False,2025060044,2025060044,Constructed,2100,25.29,29.0,2447.578125,933155,"MULTIPOLYGON (((-73.922534 40.837118, -73.922756 40.837123, -73.922822 40.837125, -73.922863 40.837126, -73.922863 40.837126, -73.922863 40.837138, -73.922859 40.837247, -73.922855 40.837354, -73.922852 40.837423, -73.922849 40.837492, -73.922847 40.837554, -73.922846 40.83757, -73.922846 40.837579, -73.922841 40.837578, -73.922827 40.837578, -73.922813 40.837578, -73.922798 40.837577, -73.922784 40.837577, -73.92277 40.837577, -73.92275 40.837576, -73.922567 40.837572, -73.922516 40.837571, -73.922522 40.837433, -73.922534 40.837118)))"
2003100,2025060125,2025060125,1,bbl_block,76 WEST 170 STREET,WEST 170TH STREET,40.840095,-73.92185,hdb_point,2024.0,,,2022.0,2022.0,2022.0,True,False,1,1,1.0,Demolition,0,5. Completed Construction,-2.0,0.0,39.0,D7,1.0,False,,,,,,,,,
2003110,2025060148,2025060148,1,bbl_block,67 WEST 169 STREET,67 WEST 169 STREET,40.83922680677452,-73.9220914668734,oti_polygon,1925.0,1925.0,,2025.0,2025.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,4.0,8.0,8.0,C1,1.0,False,2025060148,2025060148,Constructed,2100,28.98897659,80.0,132.69140625,625766,"MULTIPOLYGON (((-73.922057 40.839211, -73.922062 40.839169, -73.922072 40.83917, -73.922128 40.839174, -73.922135 40.839174, -73.922135 40.839177, -73.922134 40.839185, -73.922124 40.839261, -73.92212 40.839285, -73.922117 40.839285, -73.922115 40.839284, -73.922113 40.839284, -73.922111 40.839284, -73.922049 40.839279, -73.922048 40.839279, -73.922048 40.839278, -73.922057 40.839211)))"
2008140,2028460037,2028460037,1,bbl_block,1575 TOWNSEND AVENUE,1575 TOWNSEND AVENUE,40.843896124094144,-73.91425437895961,oti_polygon,1922.0,1922.0,,,,,False,False,0,1,0.0,Alteration,0,2. Approved Application,0.0,0.0,45.0,C7,2.0,False,2028460037,2028460037,Constructed,2100,60.77,55.0,1250.88671875,581942,"MULTIPOLYGON (((-73.914141 40.843773, -73.914237 40.843764, -73.914238 40.843769, -73.91424 40.843785, -73.914438 40.843766, -73.914472 40.843763, -73.914494 40.843772, -73.914462 40.843816, -73.91441 40.843889, -73.91437 40.843947, -73.914372 40.84396, -73.914372 40.843961, -73.914319 40.844036, -73.914295 40.844069, -73.914264 40.844056, -73.914178 40.844021, -73.914091 40.843985, -73.914011 40.843952, -73.914015 40.843946, -73.914065 40.843875, -73.914076 40.843859, -73.914096 40.843867, -73.914183 40.843903, -73.91419 40.843906, -73.914186 40.843912, -73.914243 40.843935, -73.914279 40.843885, -73.914264 40.843879, -73.91422 40.843861, -73.914215 40.843869, -73.914167 40.843849, -73.914102 40.843822, -73.914114 40.843805, -73.914138 40.843771, -73.914141 40.843773)))"
2008159,2028480024,2028480024,1,bbl_block,1677 TOWNSEND AVENUE,1677 TOWNSEND AVENUE,40.84595327256616,-73.91278690470804,oti_polygon,2022.0,2020.0,2023.0,2021.0,2023.0,2021.0,True,True,1,2,2.0,Demolition; New Building,1,5. Completed Construction,32.0,35.0,35.0,D1,1.0,False,2028480024,2028480024,Constructed,2100,88.0,39.0,544.14453125,1299030,"MULTIPOLYGON (((-73.9126 40.845927, -73.912658 40.845847, -73.912974 40.84598, -73.912916 40.84606, -73.9126 40.845927)))"
2008160,2028480050,2028480050,1,bbl_block,1670 TOWNSEND AVENUE,1670 TOWNSEND AVENUE,40.84560358956477,-73.9124487883884,oti_polygon,1920.0,1920.0,,2023.0,2023.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,25.0,25.0,25.0,C1,1.0,False,2028480050,2028480050,Constructed,2100,26.85,43.0,214.3515625,16754,"MULTIPOLYGON (((-73.912362 40.845538, -73.912363 40.845537, -73.912378 40.845543, -73.912417 40.845559, -73.912531 40.845606, -73.912569 40.845622, -73.912534 40.845671, -73.912426 40.845626, -73.912349 40.845594, -73.912328 40.845586, -73.912361 40.84554, -73.912362 40.845539, -73.912362 40.845538)))"
2008164,2028480054,2028480054,1,bbl_block,50 CLIFFORD PLACE,50 CLIFFORD PLACE,40.84598971276738,-73.9122632648783,oti_polygon,1920.0,1920.0,,2024.0,2024.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,19.0,19.0,19.0,C1,1.0,False,2028480054,2028480054,Alteration,2100,49.0,44.0,274.65625,505062,"MULTIPOLYGON (((-73.912273 40.845915, -73.912298 40.84588, -73.912366 40.845908, -73.912341 40.845943, -73.912229 40.846099, -73.912161 40.846072, -73.912273 40.845915)))"
2008190,2028490055,2028490055,1,bbl_block,1712 TOWNSEND AVENUE,1712 TOWNSEND AVENUE,40.84654387121451,-73.91177858622399,oti_polygon,1920.0,1920.0,,,,,False,False,0,1,0.0,Alteration,0,3. Permitted for Construction,0.0,0.0,2.0,B1,1.0,False,2028490055,2028490055,Constructed,2100,29.9,40.0,211.765625,602497,"MULTIPOLYGON (((-73.91166 40.846527, -73.911695 40.846477, -73.911781 40.846513, -73.911878 40.846553, -73.911897 40.846561, -73.911862 40.84661, -73.911842 40.846602, -73.911745 40.846562, -73.91166 40.846527)))"
2008203,2028490083,2028490083,1,bbl_block,59 CLIFFORD PLACE,59 CLIFFORD PLACE,40.84618168075769,-73.91169662781236,oti_polygon,1920.0,1920.0,,2025.0,2025.0,,False,False,0,1,1.0,Alteration,0,5. Completed Construction,8.0,10.0,10.0,C1,2.0,False,2028490083,2028490083,Constructed,2100,27.63,47.0,214.55078125,390658,"MULTIPOLYGON (((-73.911609 40.846246, -73.911719 40.846091, -73.911785 40.846118, -73.911729 40.846196, -73.911674 40.846273, -73.911625 40.846252, -73.911609 40.846246)))"
2008205,2028490085,2028490085,1,bbl_block,55 CLIFFORD PLACE,55 CLIFFORD PLACE,40.84625041192649,-73.91186304360065,oti_polygon,1920.0,1920.0,,,,,False,False,0,1,0.0,Alteration,0,3. Permitted for Construction,0.0,0.0,12.0,C1,2.0,False,2028490085,2028490085,Constructed,2100,26.93,45.0,218.5234375,7655,"MULTIPOLYGON (((-73.911774 40.846314, -73.911885 40.846159, -73.911945 40.846184, -73.911952 40.846187, -73.911841 40.846342, -73.911785 40.846318, -73.911774 40.846314)))"
