Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,hdb_completed,hdb_address,hdb_match_via,hdb_bbl_used,our_bbl,hdb_bbl_is_historic,matched_bin,bin_attach
X00729880,New Building,5. Completed Construction,2008287,2028560011,2,1351,JEROME AVENUE,2025.0,2023.0,0.0,247,247.0,247.0,2022-05-04,2023-12-15,2025-03-21,Other,Proposing 14 story residential building,True,1351 JEROME AVENUE,bin,2028560011,2028560011,False,2008287,hdb_bin
X00787559,New Building,3. Permitted for Construction,2008251,2028530012,2,1940,JEROME AVENUE,,2024.0,0.0,115,115.0,,2022-08-22,2024-08-05,,Other,HUB CONSULTATION MEETING HELD AND ACCEPTED ON 8/8/2022. PROPOSE NEW 13-STORY PLUS CELLAR MIXED-USE BUILDING. OBTAIN NEW C OF O. THIS PROJECT IS MANDATORY INCLUSIONARY 100% LOW INCOME HOUSING AND QUALITY HOUSING.,False,1940 JEROME AVENUE,bbl,2028530012,2028530012,False,2129813,lot_single_bin
X00805009,New Building,2. Approved Application,2008386,2028620090,2,1959,JEROME AVENUE,,,0.0,290,290.0,,2023-01-18,,,Other,NB filed to construct a new 16 story mixed use building of residential and commercial use to be reviewed via the HUB HPD Unit.,False,1959 JEROME AVENUE,bbl,2028620090,2028620090,False,2008387,lot_single_bin
X00908433,New Building,3. Permitted for Construction,2094542,2028560001,2,1320,INWOOD AVENUE,,2025.0,0.0,210,210.0,,2023-08-11,2025-08-19,,Other,Construct new 14 story mixed use building as per plans filed.,False,1320 INWOOD AVENUE,bbl,2028560001,2028560001,False,,no_footprint
X01059040,New Building,1. Filed Application,2115197,2028590051,2,1545,JEROME AVENUE,,,0.0,213,213.0,,2025-01-07,,,Other,Propose an 11-story mix-used building consisting of affordable housing use groups II (MIH) IIIA (Supportive Housing) and VI (Retail),False,1545 JEROME AVENUE,bin,2028590051,2028590051,False,2115197,hdb_bin
X01169727,New Building,2. Approved Application,2008290,2028560023,2,1376,INWOOD AVENUE,,,0.0,53,53.0,,2025-01-27,,,Other,APPLICATION FILED HEREWITH TO ERECT A NEW EIGHT STORY RESIDENTIAL BUIDLIGN WITH A TOTAL OF FIFTY THREE UNITS,False,1376 INWOOD AVENUE,bbl,2028560023,2028560023,False,,no_footprint
X01181100,Demolition,3. Permitted for Construction,2008290,2028560023,2,1376,INWOOD AVENUE,,2025.0,3.0,0,-3.0,,2025-02-19,2025-04-09,,3 Family,Full demolition to a three story house,False,1376 INWOOD AVENUE,bbl,2028560023,2028560023,False,,no_footprint
X01181103,Demolition,3. Permitted for Construction,2008291,2028560023,2,1378,INWOOD AVENUE,,2025.0,3.0,0,-3.0,,2025-02-19,2025-04-09,,3 Family,Full demolition to a three story house,False,1378 INWOOD AVENUE,bbl,2028560023,2028560023,False,,no_footprint
X01207746,New Building,1. Filed Application,2803522,2028570006,2,1408,CROMWELL AVENUE,,,0.0,92,92.0,,2025-04-10,,,Other,APPLICATION FILED HEREWITH TO ERECT A NEW THIRTEEN STORY MIXED USE BUILDING WITH A TOTAL OF NINETY-TWO DWELLING UNITS,False,1408 CROMWELL AVENUE,bbl,2028570006,2028570006,False,,no_footprint
X01314575,New Building,1. Filed Application,2008281,2028550028,2,1261,JEROME AVENUE,,,0.0,23,23.0,,2025-12-10,,,Other,NEW BUILDING.   APPLICATION HEREWITH FILED FOR NEW 12 STORY 23 FAMILY APARTMENT BUILDING. AS PER PLANS.,False,1261 JEROME AVENUE,bin,2028550028,2028550028,False,2008281,hdb_bin
X08008823,New Building,3. Permitted for Construction,2008284,2028550051,2,1298,INWOOD AVENUE,,2024.0,0.0,0,0.0,,2022-10-12,2024-06-06,,Other,Herewith Filing Fifteen (15) Story New Building Building as per plans. Primary Use Group 3 - Non Profit w/ Sleeping Accommodations with Use Group 3 Daycare and Use Group 4 - Community Facility a the Ground Floor.,False,1298 INWOOD AVENUE,bin,2028550051,2028550051,False,2008284,hdb_bin
210178225,New Building,5. Completed Construction,2129224,2028567501,2,1325,JEROME AVENUE,2021.0,2019.0,0.0,255,255.0,255.0,2018-06-15,2019-04-18,2021-05-24,R0,,True,1325 JEROME AVENUE,bin,2028567501,2028560053,True,2129224,hdb_bin
220151804,Alteration,5. Completed Construction,2003082,2025060044,2,1263,EDWARD L GRANT HIGHWAY,2022.0,2017.0,0.0,0,0.0,79.0,2015-06-01,2017-02-03,2022-01-07,H4,,True,1263 EDWARD L GRANT HIGHWAY,bin,2025060044,2025060044,False,2003082,hdb_bin
240296657,New Building,5. Completed Construction,2129747,2025060054,2,1245,EDWARD L GRANT HIGHWAY,2023.0,2022.0,0.0,110,110.0,110.0,2020-12-07,2022-02-08,2023-10-18,D1,,True,1245 EDWARD L GRANT HIGHWAY,bin,2025060054,2025060054,False,2129747,hdb_bin
220633223,Alteration,5. Completed Construction,2014083,2031870007,2,2314,JEROME AVENUE,2022.0,2021.0,0.0,0,0.0,20.0,2020-05-20,2021-04-09,2022-06-24,D1,,True,2314 JEROME AVENUE,bin,2031870007,2031870007,False,2014083,hdb_bin
