bbl,address,bldgclass,landuse,yearbuilt,unitsres,unitstotal,numbldgs,assesstot,latitude,longitude,source
2024890005,1220 JEROME AVENUE,M1,8,1931,0,1,1,180900.0,40.8363009,-73.9216049,listed lot
2024890006,1222 JEROME AVENUE,K2,5,1934,0,2,1,340200.0,40.8363035,-73.9214062,listed lot
2024890008,1230 JEROME AVENUE,K1,5,1931,0,2,1,645300.0,40.8364132,-73.9212976,listed lot
2024890011,1234 JEROME AVENUE,G2,7,1931,0,1,1,155250.0,40.8365805,-73.9211312,listed lot
2024890014,1240 JEROME AVENUE,G2,7,1931,0,1,1,186750.0,40.8367725,-73.9209431,listed lot
2024890025,1223 RIVER AVENUE,B1,1,1905,2,2,1,56460.0,40.8361992,-73.9213196,listed lot
2024890077,1264 RIVER AVENUE,Y2,8,1990,0,1,1,11103750.0,40.8373152,-73.9197498,listed lot
2025060044,1263 EDWARD L GRANT HWY,H4,5,2002,0,1,1,5148450.0,40.8373666,-73.9226879,listed lot
2025060054,1249 EDWARD L GRANT HWY,D1,3,2022,110,110,1,6398550.0,40.8369631,-73.9226883,listed lot
2025060062,1203 JEROME AVENUE,K4,4,1925,0,14,1,2573550.0,40.8364197,-73.9227251,listed lot
2028440001,1472 JEROME AVENUE,K1,5,1920,0,5,1,482850.0,40.8413942,-73.9164308,listed lot
2028440005,1474 JEROME AVENUE,G2,7,1947,0,1,1,220050.0,40.841578,-73.9163004,listed lot
2028440009,1480 JEROME AVENUE,G1,10,1920,0,2,1,332550.0,40.8417563,-73.9161701,listed lot
2028440012,1484 JEROME AVENUE,G1,10,1930,0,2,1,500400.0,40.8420032,-73.9159963,listed lot
2028460001,1504 JEROME AVENUE,K1,5,1920,0,1,1,79650.0,40.84236,-73.9159091,listed lot
2028460004,1506 JEROME AVENUE,K1,5,1920,0,1,1,313200.0,40.842401,-73.9157283,listed lot
2028460006,1510 JEROME AVENUE,G2,7,1920,0,1,1,251550.0,40.8427055,-73.9155075,listed lot
2028460014,1530 JEROME AVENUE,Z9,,0,0,0,2,194850.0,40.8430978,-73.9152287,listed lot
2028460021,1546 JEROME AVENUE,G1,10,1920,0,3,1,261450.0,40.8434983,-73.914921,listed lot
2028460027,1560 JEROME AVENUE,G1,10,1929,0,1,1,365400.0,40.8437946,-73.9147724,listed lot
2028460032,2 EAST MT EDEN AVENUE,K1,5,1920,0,10,1,569700.0,40.8440168,-73.9145697,listed lot
2028480012,1680 JEROME AVENUE,G8,5,1925,0,3,1,927000.0,40.84614,-73.913049,listed lot
2028480016,1690 JEROME AVENUE,K2,5,1920,0,2,1,293400.0,40.8463101,-73.9129295,listed lot
2028490001,1696 JEROME AVENUE,G9,7,1920,0,2,1,1257300.0,40.8466338,-73.9126869,listed lot
2028490005,1712 JEROME AVENUE,G1,10,1920,0,2,1,345600.0,40.8468835,-73.9125239,listed lot
2028490009,1732 JEROME AVENUE,G6,10,1920,0,1,1,399150.0,40.8471194,-73.9123573,listed lot
2028490013,1736 JEROME AVENUE,G3,7,1972,0,1,1,783450.0,40.8473663,-73.9122305,listed lot
2028530001,1900 JEROME AVENUE,G9,7,1920,0,2,1,644400.0,40.8502987,-73.9100579,listed lot
2028530006,1928 JEROME AVENUE,G1,10,1920,0,2,1,305100.0,40.850499,-73.9099347,listed lot
2028530009,1932 JEROME AVENUE,G2,7,1920,0,3,1,355500.0,40.8505702,-73.9097177,listed lot
2028530011,1934 JEROME AVENUE,K2,5,1920,0,1,1,501750.0,40.8507184,-73.9097211,listed lot
2028530012,1940 JEROME AVENUE,D7,4,2025,115,117,1,5749200.0,40.8509022,-73.9095908,listed lot
2028530017,1946 JEROME AVENUE,G2,7,1920,0,4,1,584100.0,40.8511628,-73.9093446,listed lot
2028530022,1956 JEROME AVENUE,W3,8,2023,0,1,1,1291500.0,40.8514233,-73.9091129,listed lot
2028550001,1237 JEROME AVENUE,G3,7,2018,0,1,2,379800.0,40.8368526,-73.9216477,listed lot
2028550008,1241 JEROME AVENUE,G2,7,1925,0,1,1,196650.0,40.8370364,-73.9214848,listed lot
2028550012,1245 JEROME AVENUE,G1,10,1934,0,2,1,131400.0,40.8371708,-73.9213654,listed lot
2028550015,1251 JEROME AVENUE,GW,5,1928,0,1,1,112500.0,40.8372696,-73.9212749,listed lot
2028550016,1253 JEROME AVENUE,E7,6,2007,0,1,1,3223800.0,40.8373957,-73.9211628,listed lot
2028550020,8 WEST 169 STREET,C7,4,1928,53,54,1,1431000.0,40.8376866,-73.9210793,listed lot
2028550025,1265 JEROME AVENUE,C7,4,1921,19,21,1,661050.0,40.837519,-73.9207723,listed lot
2028550027,1263 JEROME AVENUE,C7,4,1921,10,12,1,395550.0,40.8374504,-73.9208736,listed lot
2028550028,1261 JEROME AVENUE,G2,7,1926,0,1,1,83700.0,40.8374066,-73.9209423,listed lot
2028550042,1280 INWOOD AVENUE,G1,10,1920,0,2,1,300150.0,40.8379745,-73.9206453,listed lot
2028550045,1275 JEROME AVENUE,G2,7,1920,0,2,1,259650.0,40.8380264,-73.9202766,listed lot
2028550051,1298 INWOOD AVENUE,D7,4,2025,195,196,1,7053750.0,40.8382101,-73.9200017,listed lot
2028550053,1304 INWOOD AVENUE,K4,4,1920,0,2,1,810450.0,40.8383445,-73.9197956,listed lot
2028550065,1271 JEROME AVENUE,G2,7,1920,0,4,1,323100.0,40.8377575,-73.9204034,listed lot
