Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,Latitude,Longitude,hdb_completed,hdb_address,scope_via,pluto_current_bbl,bbl_sunsetted
X00486240,Alteration,3. Permitted for Construction,2008709,2028720302,2,1476,JESUP AVENUE,,2022.0,3.0,20,17.0,,2021-03-22,2022-01-12,,Other,VERTICAL EXTENSION TO AN EXISTING TWO STORY & CELLAR BRICK BUILDING,40.84288708091348,-73.91918435433801,False,1476 JESUP AVENUE,bbl_block,2028720302,False
X00487406,New Building,5. Completed Construction,2008159,2028480024,2,1677,TOWNSEND AVENUE,2023.0,2021.0,0.0,35,35.0,35.0,2021-08-04,2021-11-23,2023-01-10,Other,NEW 7-STORY 35-FAMILY RESIDENTIAL BUILDING,40.84595327256616,-73.91278690470804,True,1677 TOWNSEND AVENUE,bbl_block,2028480024,False
X00490317,Alteration,5. Completed Construction,2008659,2028720070,2,1434,JESUP AVENUE,2023.0,2022.0,0.0,8,8.0,8.0,2021-03-22,2022-06-23,2023-04-28,Other,PROPOSED INTERIOR RENOVATION  TO AN EXISTING 2 STORY AND CELLAR RESIDENTIAL USE BUILDING TO A TOTAL OF 8 RESIDENTIAL UNITS.,40.84181823056305,-73.92004736111689,True,1434 JESUP AVENUE,bbl_block,2028720070,False
X00558445,New Building,5. Completed Construction,2131062,2028720120,2,1472,SHAKESPEARE AVENUE,2023.0,2022.0,0.0,34,34.0,34.0,2021-08-19,2022-07-14,2023-12-15,Other,New 7 story Residential Building,40.84374358524328,-73.91973679478882,True,1472 SHAKESPEARE AVENUE,bbl_block,2028720120,False
X00525233,Alteration,3. Permitted for Construction,2008431,2028650126,2,37,FEATHERBED LANE,,2022.0,42.0,56,14.0,,2021-08-04,2022-06-06,,Other,PROPOSED APARTMENTS AT BASEMENT FIRST & SECOND FLOOR. ADDITIONAL SCOPE OF WORK ADDED. AMENDMENT PLANS INCLUDE APARTMENT 1C 1E 1B 2F & 2E TO BE SPLIT INTO STUDIO APARTMENTS. 80 SQ FT REDUCTION FROM APT. 6A.,40.846223266920575,-73.91538209735293,False,37 FEATHERBED LANE,bbl_block,2028650126,False
X00527768,Alteration,5. Completed Construction,2008160,2028480050,2,1670,TOWNSEND AVENUE,2023.0,2022.0,0.0,25,25.0,25.0,2021-05-25,2022-06-30,2023-12-28,Other,PROPSING HORIZONTAL & VERTICAL ENLARGEMNT TOAX EXISTING TWO STORY & BASEMENT BUILDING,40.84560358956477,-73.9124487883884,True,1670 TOWNSEND AVENUE,bbl_block,2028480050,False
X00676895,New Building,5. Completed Construction,2130655,2031950032,2,2175,DAVIDSON AVENUE,2024.0,2022.0,0.0,18,18.0,20.0,2022-03-16,2022-09-08,2024-05-01,Other,NEW FOUR STORY EIGHTEEN (18) DWELLING UNIT BUILDING,40.85697676045363,-73.90610058706118,True,2175 DAVIDSON AVENUE,bbl_block,2031950032,False
X00678451,Alteration,3. Permitted for Construction,2014242,2031980015,2,2312,GRAND AVENUE,,2022.0,0.0,13,13.0,,2022-02-21,2022-05-19,,Other,APPLICATION FILED HEREWITH TO PROPOSE THE FOLLOWING: HORIZONTAL ENLARGEMENT AT THE SECOND FLOOR. 2 STORY VERTICAL ENLARGEMENT WITH A PENTHOUSE AND BULK HEAD.  INCREASE DWELLING UNITS TO 13. OBTAIN NEW CERTIFICATE OF OCCUPANCY,40.86050600775776,-73.90454710842329,False,2312 GRAND AVENUE,bbl_block,2031980015,False
X00681146,Alteration,5. Completed Construction,2014244,2031980017,2,2316,GRAND AVENUE,2024.0,2022.0,0.0,15,15.0,15.0,2022-02-21,2022-05-20,2024-06-21,Other,APPLICATION FILED HEREWITH TO PROPOSE THE FOLLOWING: HORIZONTAL ENLARGEMENT AT THE SECOND FLOOR. 2 STORY VERTICAL ENLARGEMENT WITH A PENTHOUSE AND BULKHEAD.  INCREASE DWELLING UNITS TO 15. OBTAIN NEW CERTIFICATE OF OCCUPANCY,40.86062585569538,-73.90445865134812,True,2316 GRAND AVENUE,bbl_block,2031980017,False
X00687136,New Building,5. Completed Construction,2129796,2025060125,2,78,WEST 170 STREET,2025.0,2022.0,0.0,39,39.0,39.0,2022-02-28,2022-06-10,2025-11-14,Other,PROPOSED ELEVEN (11) STORY AND CELLAR MIXED USED BUILDING,40.84009780501192,-73.92185815309105,True,78 WEST 170 STREET,bbl_block,2025060125,False
X00689879,Alteration,5. Completed Construction,2008443,2028650179,2,1665,DAVIDSON AVENUE,2023.0,2022.0,0.0,10,10.0,10.0,2022-03-20,2022-11-14,2023-08-01,Other,APPLICATION FILED HEREWITH FOR INTERIOR RENOVATIONS AND INCREASE IN NUMBER OF DWELLING UNITS FROM 3 TO 10 WITHIN THE EXISTING BULK OF 2 STORY AND BASEMENT RESIDENTIAL BUILDING.,40.84630895807352,-73.91463729468344,True,1665 DAVIDSON AVENUE,bbl_block,2028650179,False
X00694049,New Building,5. Completed Construction,2130883,2025060082,2,1258,SHAKESPEARE AVENUE,2023.0,2022.0,0.0,90,90.0,90.0,2022-03-14,2022-05-26,2023-11-15,Other,Proposed seven (7) story residential building.,40.83872252219091,-73.92266117201977,True,1258 SHAKESPEARE AVENUE,bbl_block,2025060082,False
X00663777,Alteration,3. Permitted for Construction,2008190,2028490055,2,1712,TOWNSEND AVENUE,,2022.0,2.0,18,16.0,,2022-01-27,2022-06-14,,Other,Existing 2-Story 2-Family building to be enlarged and converted to a 4-story and penthouse 18-Family Dwelling,40.84654387121451,-73.91177858622399,False,1712 TOWNSEND AVENUE,bbl_block,2028490055,False
X00728468,Alteration,3. Permitted for Construction,2008205,2028490085,2,55,CLIFFORD PLACE,,2024.0,0.0,12,12.0,,2022-06-13,2024-03-21,,Other,1. CONVERT EXISTING TWO (2) DWELLING UNITS   TO TWELVE (12)  DWELLING UNITS.2. PROPOSED VERTICAL & HORIZONTAL ENLARGEMENT W/  PENTHOUSE.3. OBTAIN A NEW CERTIFICATE OF OCCUPANCY.,40.84625041192649,-73.91186304360065,False,55 CLIFFORD PLACE,bbl_block,2028490085,False
X00739669,Alteration,5. Completed Construction,2008164,2028480054,2,50,CLIFFORD PLACE,2024.0,2023.0,0.0,19,19.0,19.0,2022-06-13,2023-05-31,2024-09-06,Other,APPLICATION FILED HEREWITH TO PROPOSE THE FOLLOWING. HORIZONTAL ENLARGEMENT AT THE EXISTING FIRST & SECOND FLOOR. 2 STORY VERTICAL ENLARGEMENT WITH A PENTHOUSE AND BULK HEAD. INCREASED DWELLING UNITS TO 19 AND OBTAIN NEW CERTIFICATE OF OCCUPANCY.,40.84598971276738,-73.9122632648783,True,50 CLIFFORD PLACE,bbl_block,2028480054,False
X00729880,New Building,5. Completed Construction,2008287,2028560011,2,1351,JEROME AVENUE,2025.0,2023.0,0.0,247,247.0,247.0,2022-05-04,2023-12-15,2025-03-21,Other,Proposing 14 story residential building,40.839514,-73.919267,True,1351 JEROME AVENUE,bbl_block,2028560011,False
X00787559,New Building,3. Permitted for Construction,2008251,2028530012,2,1940,JEROME AVENUE,,2024.0,0.0,115,115.0,,2022-08-22,2024-08-05,,Other,HUB CONSULTATION MEETING HELD AND ACCEPTED ON 8/8/2022. PROPOSE NEW 13-STORY PLUS CELLAR MIXED-USE BUILDING. OBTAIN NEW C OF O. THIS PROJECT IS MANDATORY INCLUSIONARY 100% LOW INCOME HOUSING AND QUALITY HOUSING.,40.850903,-73.909591,False,1940 JEROME AVENUE,bbl_block,2028530012,False
