coundist,borough,month,rent_streeteasy,rent_zori,se_coverage
1,Manhattan,2017-01,3829.98,3684.93,1.0
1,Manhattan,2017-02,4324.72,3718.09,1.0
1,Manhattan,2017-03,4298.77,3749.38,1.0
1,Manhattan,2017-04,4409.12,3786.45,1.0
1,Manhattan,2017-05,4033.2,3820.26,1.0
1,Manhattan,2017-06,3981.91,3847.43,1.0
1,Manhattan,2017-07,4313.38,3864.72,1.0
1,Manhattan,2017-08,3898.43,3864.59,1.0
1,Manhattan,2017-09,3969.75,3858.13,1.0
1,Manhattan,2017-10,3768.03,3805.57,1.0
1,Manhattan,2017-11,3595.95,3774.84,1.0
1,Manhattan,2017-12,3719.72,3741.64,1.0
1,Manhattan,2018-01,3877.69,3745.79,1.0
1,Manhattan,2018-02,3866.48,3754.27,1.0
1,Manhattan,2018-03,3876.43,3786.81,1.0
1,Manhattan,2018-04,3798.37,3836.43,1.0
1,Manhattan,2018-05,3897.58,3871.97,1.0
1,Manhattan,2018-06,4252.74,3900.6,1.0
1,Manhattan,2018-07,4254.21,3927.01,1.0
1,Manhattan,2018-08,4434.21,3939.33,1.0
1,Manhattan,2018-09,4473.53,3946.09,1.0
1,Manhattan,2018-10,4341.03,3918.3,1.0
1,Manhattan,2018-11,4423.85,3901.39,1.0
1,Manhattan,2018-12,4282.59,3854.15,1.0
1,Manhattan,2019-01,4246.03,3858.3,1.0
1,Manhattan,2019-02,4130.48,3877.91,1.0
1,Manhattan,2019-03,4040.86,3931.5,1.0
1,Manhattan,2019-04,3960.65,3972.05,1.0
1,Manhattan,2019-05,4242.6,4003.56,1.0
1,Manhattan,2019-06,4139.96,4037.8,1.0
1,Manhattan,2019-07,4566.8,4066.04,1.0
1,Manhattan,2019-08,3967.69,4079.97,1.0
1,Manhattan,2019-09,4145.59,4083.33,1.0
1,Manhattan,2019-10,4139.22,4064.64,1.0
1,Manhattan,2019-11,4393.08,4028.51,1.0
1,Manhattan,2019-12,4388.83,4008.94,1.0
1,Manhattan,2020-01,4234.01,3993.85,1.0
1,Manhattan,2020-02,4165.05,4038.97,1.0
1,Manhattan,2020-03,4613.7,4069.31,1.0
1,Manhattan,2020-04,4357.77,4063.21,1.0
1,Manhattan,2020-05,4416.22,3976.34,1.0
1,Manhattan,2020-06,3931.6,3893.36,1.0
1,Manhattan,2020-07,3712.09,3813.07,1.0
1,Manhattan,2020-08,3728.28,3685.46,1.0
1,Manhattan,2020-09,3555.76,3540.48,1.0
1,Manhattan,2020-10,3501.33,3420.31,1.0
1,Manhattan,2020-11,3427.83,3342.3,1.0
1,Manhattan,2020-12,3689.04,3308.2,1.0
1,Manhattan,2021-01,3588.85,3286.25,1.0
1,Manhattan,2021-02,3546.36,3320.95,1.0
1,Manhattan,2021-03,3426.02,3375.67,1.0
1,Manhattan,2021-04,3507.13,3477.74,1.0
1,Manhattan,2021-05,3668.6,3608.25,1.0
1,Manhattan,2021-06,3932.65,3769.06,1.0
1,Manhattan,2021-07,3814.99,3954.17,1.0
1,Manhattan,2021-08,4278.37,4110.96,1.0
1,Manhattan,2021-09,4676.82,4230.53,1.0
